leftmoney,Right,rightmoney,Left,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,date,frameRate,expName,session,participant,
,,,,,,,,space,0.817363253329,,,2018_Feb_09_1525,59.9840864568,newer wtp,001,1,
0.05,"Going to a friend’s 
birthday party",0.08,Reading a book,0,0,0,7,,,1,2.55136655597,2018_Feb_09_1525,59.9840864568,newer wtp,001,1,
