selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response2.keys,response2.rt,response3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,5.2838832037,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,0,0,10,,,,,0,0,0,0,,,None,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,0,0,10,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,1,1,19,0,0,0,0,,,,,,,,2,0.784443187251,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,1,1,19,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,2,2,17,,,,,0,0,0,0,,,1,,,0.267170470439,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,2,2,17,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,3,3,21,,,,,0,0,0,0,,,2,,,0.800402640771,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,3,3,21,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,4,4,3,,,,,0,0,0,0,,,1,,,1.13405238062,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,4,4,3,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,5,5,11,,,,,0,0,0,0,,,2,,,0.283804205739,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,5,5,11,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,6,6,5,0,0,0,0,,,,,,,,1,1.41701186804,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,6,6,5,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,7,7,4,0,0,0,0,,,,,,,,2,1.75073034234,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,7,7,4,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,8,8,15,,,,,0,0,0,0,,,1,,,0.600299570209,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,8,8,15,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,9,9,13,0,0,0,0,,,,,,,,2,1.18434391108,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,9,9,13,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,10,10,18,,,,,0,0,0,0,,,2,,,0.733916218001,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,10,10,18,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,11,11,22,0,0,0,0,,,,,,,,2,0.900455420116,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,11,11,22,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,12,12,12,0,0,0,0,,,,,,,,1,0.800447738029,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,12,12,12,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,13,13,20,0,0,0,0,,,,,,,,2,0.650366858428,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,13,13,20,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,14,14,1,,,,,0,0,0,0,,,1,,,0.333745843665,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,14,14,1,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,15,15,24,0,0,0,0,,,,,,,,2,0.266963023047,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,15,15,24,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,16,16,14,,,,,0,0,0,0,,,1,,,0.634018324416,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,16,16,14,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,17,17,0,0,0,0,0,,,,,,,,2,0.583842491757,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,17,17,0,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,18,18,6,0,0,0,0,,,,,,,,2,0.433837188943,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,18,18,6,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,19,19,9,,,,,0,0,0,0,,,1,,,0.683843642515,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,19,19,9,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,20,20,23,0,0,0,0,,,,,,,,2,0.717273152233,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,20,20,23,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,21,21,8,,,,,0,0,0,0,,,2,,,0.55058963889,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
2,0,21,21,8,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,22,22,16,0,0,0,0,,,,,,,,2,0.433556652888,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
1,0,22,22,16,,,,,,,,,,,,,,,2018_Feb_22_1504,59.9510922665,Experiment1,001,wtp07,
