selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response3.rt,response2.keys,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,4.88432792074,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,0,0,21,,,,,0,0,0,0,,,None,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,0,0,21,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,1,1,9,,,,,0,0,0,0,,,None,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,1,1,9,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,2,2,10,,,,,0,0,0,0,,,2,1.05058762094,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,2,2,10,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,3,3,5,0,0,0,0,,,,,,,,,None,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,3,3,5,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,4,4,1,,,,,0,0,0,0,,,2,1.35039202205,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,4,4,1,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,5,5,22,0,0,0,0,,,,,,,,,None,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,5,5,22,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,6,6,8,,,,,0,0,0,0,,,1,0.400385288522,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,6,6,8,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,7,7,20,0,0,0,0,,,,,,,,,2,0.534423885169,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,7,7,20,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,8,8,11,,,,,0,0,0,0,,,2,0.667003498645,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,8,8,11,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,9,9,3,,,,,0,0,0,0,,,1,0.616975398269,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
2,0,9,9,3,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,10,10,7,0,0,0,0,,,,,,,,,1,0.61765621556,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,10,10,7,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,11,11,16,0,0,0,0,,,,,,,,,1,0.700386874727,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,11,11,16,,,,,,,,,,,,,,,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
1,0,12,12,6,0,0,0,0,,,,,,,,,2,0.33366394497,2018_Feb_21_1025,60.0421849678,Experiment1,001,wtp05,
