LeftEx,RightEx,LMoneyEx,RMoneyEx,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,0.2862771999934921,,,,001,2019_Aug_05_1315,newer wtp,3.0.7,60.020911284011056,
"Going for a run
by yourself","Having lunch with
a significant other",0.05,0.05,0,0,0,2,,,2,1.8533846999926027,,001,2019_Aug_05_1315,newer wtp,3.0.7,60.020911284011056,
"Helping a friend
study for a test","Watching television
at home",0.01,0.04,0,1,1,1,,,1,1.0381400999904145,,001,2019_Aug_05_1315,newer wtp,3.0.7,60.020911284011056,
,,,,,,,,,,2,1.2090175000048475,,,,,,,
