LeftEx,RightEx,LMoneyEx,RMoneyEx,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,0.594476800004486,,,,001,2019_Aug_05_1314,newer wtp,3.0.7,59.623430336226384,
None,None,None,None,0,0,0,14,,,1,2.376914000007673,,001,2019_Aug_05_1314,newer wtp,3.0.7,59.623430336226384,
