leftmoney,Right,rightmoney,Left,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,spacebar.keys,spacebar.rt,responses.keys,date,frameRate,expName,session,participant,
,,,,,,,,space,3.40098846388,,2019_Nov_15_0928,59.8680601736,newer wtp,001,00,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",0,0,0,22,,,None,2019_Nov_15_0928,59.8680601736,newer wtp,001,00,
