selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response2.keys,response3.rt,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,2.25045089494,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,0,0,14,,,,,0,0,0,0,,,None,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,0,0,14,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,1,1,5,0,0,0,0,,,,,,,,None,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,1,1,5,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,2,2,23,0,0,0,0,,,,,,,,None,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,2,2,23,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,3,3,8,,,,,0,0,0,0,,,None,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,3,3,8,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,4,4,18,,,,,0,0,0,0,,,2,,1.08400935167,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,4,4,18,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,5,5,20,0,0,0,0,,,,,,,,1,,1.08401277289,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,5,5,20,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,6,6,9,,,,,0,0,0,0,,,2,,0.867351854686,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,6,6,9,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,7,7,15,,,,,0,0,0,0,,,2,,0.817040108377,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,7,7,15,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,8,8,16,0,0,0,0,,,,,,,,None,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,8,8,16,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,9,9,0,0,0,0,0,,,,,,,,2,,0.434008247452,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,9,9,0,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,10,10,2,0,0,0,0,,,,,,,,2,,1.8671487614,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,10,10,2,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,11,11,17,,,,,0,0,0,0,,,None,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,11,11,17,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,12,12,7,0,0,0,0,,,,,,,,2,,0.650445856387,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,12,12,7,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,13,13,4,0,0,0,0,,,,,,,,2,,0.283628792968,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,13,13,4,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,14,14,11,,,,,0,0,0,0,,,2,,1.8522672879,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,14,14,11,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,15,15,19,0,0,0,0,,,,,,,,2,,1.30063916813,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,15,15,19,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,16,16,12,0,0,0,0,,,,,,,,None,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,16,16,12,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,17,17,13,0,0,0,0,,,,,,,,2,,1.05053007952,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,17,17,13,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,18,18,1,,,,,0,0,0,0,,,None,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,18,18,1,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,19,19,24,0,0,0,0,,,,,,,,2,,0.833662647055,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,19,19,24,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,20,20,22,0,0,0,0,,,,,,,,None,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
1,0,20,20,22,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,21,21,10,,,,,0,0,0,0,,,2,,1.63428455382,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,21,21,10,,,,,,,,,,,,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
2,0,22,22,3,,,,,0,0,0,0,,,None,,,,2018_Sep_24_1104,59.9510923221,Experiment1,001,wtp27,
