selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response3.rt,response2.keys,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,2.26649224805,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,0,0,10,,,,,0,0,0,0,,,2,1.16728014871,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,0,0,10,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,1,1,15,,,,,0,0,0,0,,,2,0.800535758724,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,1,1,15,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,2,2,14,,,,,0,0,0,0,,,2,0.833854132099,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,2,2,14,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,3,3,21,,,,,0,0,0,0,,,2,0.734697082895,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,3,3,21,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,4,4,5,0,0,0,0,,,,,,,,,1,0.250265531125,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,4,4,5,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,5,5,22,0,0,0,0,,,,,,,,,1,0.267128278851,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,5,5,22,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,6,6,12,0,0,0,0,,,,,,,,,1,0.30038196058,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,6,6,12,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,7,7,17,,,,,0,0,0,0,,,1,0.33349848364,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,7,7,17,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,8,8,19,0,0,0,0,,,,,,,,,2,0.233453790424,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,8,8,19,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,9,9,7,0,0,0,0,,,,,,,,,2,0.234455577913,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,9,9,7,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,10,10,9,,,,,0,0,0,0,,,2,0.266943534487,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,10,10,9,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,11,11,18,,,,,0,0,0,0,,,1,0.216950579081,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,11,11,18,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,12,12,3,,,,,0,0,0,0,,,1,0.233995271847,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,12,12,3,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,13,13,0,0,0,0,0,,,,,,,,,2,0.283888390753,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,13,13,0,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,14,14,16,0,0,0,0,,,,,,,,,2,0.385444006999,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,14,14,16,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,15,15,6,0,0,0,0,,,,,,,,,2,0.551145741832,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,15,15,6,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,16,16,24,0,0,0,0,,,,,,,,,2,0.317510939203,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,16,16,24,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,17,17,13,0,0,0,0,,,,,,,,,1,0.433805675711,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,17,17,13,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,18,18,1,,,,,0,0,0,0,,,1,0.283883725409,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,18,18,1,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,19,19,20,0,0,0,0,,,,,,,,,2,0.417057693354,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
1,0,19,19,20,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,20,20,11,,,,,0,0,0,0,,,2,0.350418769522,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
2,0,20,20,11,,,,,,,,,,,,,,,2018_Feb_20_1315,59.9088302014,Experiment1,001,wtp03,
