choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"Going to a music
festival with friends",0,39,39,30,,,,,,,114.06593937365687,None,$0.03,2.39,0.03156095444865059,None,None,114.06593937365687,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Getting ice cream
with friends",0,40,40,49,,,,,,,116.51680277622654,None,$0.02,2.721,0.03602834197226912,None,None,116.51680277622654,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Getting verified on 
Instagram",0,41,41,47,,,,,,,119.30072758329334,None,$0.05,2.612,0.028575542819453403,None,None,119.30072758329334,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Talking to a friend 
over Skype",0,42,42,12,,,,,,,121.9681905463367,None,$0.01,3.037,0.03597920195898041,None,None,121.9681905463367,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Uploading photos on social media,0,43,43,5,,,,,,,125.06894686720625,None,$0.01,2.312,0.02948214506614022,None,None,125.06894686720625,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Going on a weekend
getaway with family",0,44,44,18,,,,,,,127.43633195264556,None,$0.03,3.355,0.0371909077221062,None,None,127.43633195264556,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Direct messaging your crush on Snapchat,0,45,45,54,,,,,,,130.8709393394529,None,$0.01,2.576,0.042297115476685576,None,None,130.8709393394529,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Going out to dinner with friends,0,46,46,3,,,,,,,133.48826859809924,None,$0.02,1.798,0.026076244161231443,None,None,133.48826859809924,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Going to a comedy show 
with a significant other",0,47,47,56,,,,,,,135.3552157775557,None,$0.01,2.574,0.033457821380579844,None,None,135.3552157775557,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Having hundreds of friends on Facebook,0,48,48,59,,,,,,,137.98926726012724,None,$0.01,2.086,0.03725435433443636,None,None,137.98926726012724,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
