choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,14.048684073844925,None,space,47.809937293612165,14.048684073844925,None,,,,,,,,,,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
"Baking a cake for a 
family memberís birthday",0,0,0,2,,,,,,,63.396146613915334,None,$1.00,13.551,1.2886745941796107,None,None,63.396146613915334,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
"Getting ice cream
with friends",0,1,1,49,,,,,,,76.99998102823156,None,$0.40,5.804,0.03901841879996937,None,None,76.99998102823156,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
"Eating dinner at a 
restaurant with family",0,2,2,39,,,,,,,82.88530812969839,None,$1.00,2.997,0.039209069625940174,None,None,82.88530812969839,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
"Taking your friend 
to the spa",0,3,3,1,,,,,,,85.93586698855506,None,$0.40,4.741,0.0335505031835055,None,None,85.93586698855506,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
"Talking over the phone
with a significant other",0,4,4,7,,,,,,,90.73748406837694,None,$0,5.121,0.03578979517624248,None,None,90.73748406837694,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
"Playing videogames 
with friends",0,5,5,31,,,,,,,95.92226515580842,None,$0,3.154,0.03585635191120673,None,None,95.92226515580842,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
"Going sight-seeing
with family",0,6,6,24,,,,,,,99.1563000925089,None,$0.20,2.561,0.041805715300142765,None,None,99.1563000925089,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
"Getting drinks 
with co-workers",0,7,7,44,,,,,,,101.77367040484387,None,$0.20,3.598,0.025351273390697315,None,None,101.77367040484387,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
Going on a blind date,0,8,8,34,,,,,,,105.40915441224934,None,$0,3.068,0.026882389283855446,None,None,105.40915441224934,None,,,,,,,000,001,2019_Nov_20_0932,choiceText,3.1.2,59.983508417822165,
