9.9093 	EXP 	window1: blendMode = 'avg'
9.9260 	EXP 	window1: blendMode = 'avg'
9.9426 	EXP 	window1: blendMode = 'avg'
9.9593 	EXP 	window1: blendMode = 'avg'
9.9760 	EXP 	window1: blendMode = 'avg'
9.9927 	EXP 	window1: blendMode = 'avg'
10.0093 	EXP 	window1: blendMode = 'avg'
10.0260 	EXP 	window1: blendMode = 'avg'
10.0426 	EXP 	window1: blendMode = 'avg'
10.0593 	EXP 	window1: blendMode = 'avg'
10.0760 	EXP 	window1: blendMode = 'avg'
10.0926 	EXP 	window1: blendMode = 'avg'
10.1094 	EXP 	window1: blendMode = 'avg'
10.1260 	EXP 	window1: blendMode = 'avg'
10.1427 	EXP 	window1: blendMode = 'avg'
10.1593 	EXP 	window1: blendMode = 'avg'
10.1760 	EXP 	window1: blendMode = 'avg'
10.1927 	EXP 	window1: blendMode = 'avg'
10.2094 	EXP 	window1: blendMode = 'avg'
10.2261 	EXP 	window1: blendMode = 'avg'
10.2427 	EXP 	window1: blendMode = 'avg'
10.2594 	EXP 	window1: blendMode = 'avg'
10.2761 	EXP 	window1: blendMode = 'avg'
10.2928 	EXP 	window1: blendMode = 'avg'
10.3094 	EXP 	window1: blendMode = 'avg'
10.3261 	EXP 	window1: blendMode = 'avg'
10.3427 	EXP 	window1: blendMode = 'avg'
10.3594 	EXP 	window1: blendMode = 'avg'
10.3761 	EXP 	window1: blendMode = 'avg'
10.3928 	EXP 	window1: blendMode = 'avg'
10.4095 	EXP 	window1: blendMode = 'avg'
10.4261 	EXP 	window1: blendMode = 'avg'
10.4428 	EXP 	window1: blendMode = 'avg'
10.4595 	EXP 	window1: blendMode = 'avg'
10.4760 	EXP 	window1: blendMode = 'avg'
10.4924 	EXP 	window1: blendMode = 'avg'
10.5092 	EXP 	window1: blendMode = 'avg'
10.5259 	EXP 	window1: blendMode = 'avg'
10.5428 	EXP 	window1: blendMode = 'avg'
10.5595 	EXP 	window1: blendMode = 'avg'
10.5762 	EXP 	window1: blendMode = 'avg'
10.5928 	EXP 	window1: blendMode = 'avg'
10.6095 	EXP 	window1: blendMode = 'avg'
10.6262 	EXP 	window1: blendMode = 'avg'
10.6428 	EXP 	window1: blendMode = 'avg'
10.6595 	EXP 	window1: blendMode = 'avg'
10.6762 	EXP 	window1: blendMode = 'avg'
10.6929 	EXP 	window1: blendMode = 'avg'
10.7096 	EXP 	window1: blendMode = 'avg'
10.7262 	EXP 	window1: blendMode = 'avg'
10.7429 	EXP 	window1: blendMode = 'avg'
10.7595 	EXP 	window1: blendMode = 'avg'
10.7762 	EXP 	window1: blendMode = 'avg'
10.7929 	EXP 	window1: blendMode = 'avg'
10.8096 	EXP 	window1: blendMode = 'avg'
10.8262 	EXP 	window1: blendMode = 'avg'
10.8429 	EXP 	window1: blendMode = 'avg'
10.8596 	EXP 	window1: blendMode = 'avg'
10.8762 	EXP 	window1: blendMode = 'avg'
10.8929 	EXP 	window1: blendMode = 'avg'
10.9096 	EXP 	window1: blendMode = 'avg'
10.9263 	EXP 	window1: blendMode = 'avg'
10.9429 	EXP 	window1: blendMode = 'avg'
10.9596 	EXP 	window1: blendMode = 'avg'
10.9763 	EXP 	window1: blendMode = 'avg'
10.9929 	EXP 	window1: blendMode = 'avg'
11.0096 	EXP 	window1: blendMode = 'avg'
11.0263 	EXP 	window1: blendMode = 'avg'
11.0429 	EXP 	window1: blendMode = 'avg'
11.0596 	EXP 	window1: blendMode = 'avg'
11.0763 	EXP 	window1: blendMode = 'avg'
11.0930 	EXP 	window1: blendMode = 'avg'
11.1096 	EXP 	window1: blendMode = 'avg'
11.1263 	EXP 	window1: blendMode = 'avg'
11.1430 	EXP 	window1: blendMode = 'avg'
11.1596 	EXP 	window1: blendMode = 'avg'
11.1763 	EXP 	window1: blendMode = 'avg'
11.1930 	EXP 	window1: blendMode = 'avg'
11.2097 	EXP 	window1: blendMode = 'avg'
11.2264 	EXP 	window1: blendMode = 'avg'
11.2430 	EXP 	window1: blendMode = 'avg'
11.2597 	EXP 	window1: blendMode = 'avg'
11.2764 	EXP 	window1: blendMode = 'avg'
11.2930 	EXP 	window1: blendMode = 'avg'
11.3097 	EXP 	window1: blendMode = 'avg'
11.3264 	EXP 	window1: blendMode = 'avg'
11.3430 	EXP 	window1: blendMode = 'avg'
11.3597 	EXP 	window1: blendMode = 'avg'
11.3764 	EXP 	window1: blendMode = 'avg'
11.3931 	EXP 	window1: blendMode = 'avg'
11.4089 	DATA 	Keypress: space
11.4316 	EXP 	window1: mouseVisible = True
