choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Having hundreds of friends on Facebook,social Media,2,0,69,69,59,,,,,,,,,,,,,,,,,,,,,,,,,439.3887249658892,None,$.01,2.904,0.01733917256569839,None,None,439.3887249658892,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Painting your bedroom
a new color",nonsocial,0,0,70,70,101,,,,,,,,,,,,,,,,,,,,,,,,,442.3395591589242,None,$0,4.209,0.015572598570997798,None,None,442.3395591589242,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Make a post on Twitter,social Media,2,0,71,71,53,,,,,,,,,,,,,,,,,,,,,,,,,446.57420155054206,None,$0,1.93,0.012604567651123944,None,None,446.57420155054206,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Planting flowers 
in a garden",nonsocial,0,0,72,72,67,,,,,,,,,,,,,,,,,,,,,,,,,448.5436024984583,None,$0,1.659,0.014115797059275792,None,None,448.5436024984583,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Celebrating holidays 
with family",social,1,0,73,73,37,,,,,,,,,,,,,,,,,,,,,,,,,450.25873559954516,None,$.05,2.52,0.01698865691514584,None,None,450.25873559954516,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Rearranging furniture 
in your house",nonsocial,0,0,74,74,100,,,,,,,,,,,,,,,,,,,,,,,,,452.82597815481995,None,$.04,2.958,0.015255983725182887,None,None,452.82597815481995,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Listening to music
by yourself",nonsocial,0,0,75,75,109,,,,,,,,,,,,,,,,,,,,,,,,,455.8269640772778,None,$.05,1.592,0.014736275073119032,None,None,455.8269640772778,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Practicing photography,nonsocial,0,0,76,76,65,,,,,,,,,,,,,,,,,,,,,,,,,457.4456490806506,None,$0,3.144,0.014697398004500428,None,None,457.4456490806506,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Running a marathon,nonsocial,0,0,77,77,93,,,,,,,,,,,,,,,,,,,,,,,,,460.6283489095604,None,$0,1.931,0.01197880235622506,None,None,460.6283489095604,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Going on vacation 
by yourself",nonsocial,0,0,78,78,94,,,,,,,,,,,,,,,,,,,,,,,,,462.5963533931749,None,$0,2.478,0.013519889353119652,None,None,462.5963533931749,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Taking a family member
 on a shopping trip",social,1,0,79,79,0,,,,,,,,,,,,,,,,,,,,,,,,,465.1296416498435,None,$.02,4.718,0.018987560270943504,None,None,465.1296416498435,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Going to the zoo with friends,social,1,0,80,80,52,,,,,,,,,,,,,,,,,,,,,,,,,469.8823595457043,None,$.05,2.028,0.014070388643176557,None,None,469.8823595457043,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Getting a haircut,nonsocial,0,0,81,81,91,,,,,,,,,,,,,,,,,,,,,,,,,471.9485146316183,None,$.03,5.104,0.010432117062009638,None,None,471.9485146316183,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Taking your friend 
on a cruise",social,1,0,82,82,6,,,,,,,,,,,,,,,,,,,,,,,,,477.09988358650617,None,$.04,3.752,0.01979838041233961,None,None,477.09988358650617,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Direct messaging friends on Instagrams,social Media,2,0,83,83,28,,,,,,,,,,,,,,,,,,,,,,,,,480.90105195127126,None,$.03,3.755,0.016449043203920155,None,None,480.90105195127126,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Taking your friend 
to the spa",social,1,0,84,84,1,,,,,,,,,,,,,,,,,,,,,,,,,484.7021714864386,None,$.02,3.43,0.014345016254992515,None,None,484.7021714864386,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Looking through old 
photo albums",nonsocial,0,0,85,85,106,,,,,,,,,,,,,,,,,,,,,,,,,488.1722487398388,None,$.05,2.894,0.02449566334098563,None,None,488.1722487398388,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Exercising from home,nonsocial,0,0,86,86,71,,,,,,,,,,,,,,,,,,,,,,,,,491.10408262092415,None,$.04,2.079,0.013248682922949229,None,None,491.10408262092415,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Walking around Central 
Park with family",social,1,0,87,87,13,,,,,,,,,,,,,,,,,,,,,,,,,493.2379304585661,None,$.03,3.569,0.01814097322676389,None,None,493.2379304585661,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Learning how to 
perform card tricks",nonsocial,0,0,88,88,103,,,,,,,,,,,,,,,,,,,,,,,,,496.8557822486064,None,$0,2.236,0.018360239893354446,None,None,496.8557822486064,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Going for a walk 
in the park",nonsocial,0,0,89,89,64,,,,,,,,,,,,,,,,,,,,,,,,,499.13982339858376,None,$.03,2.776,0.014715125947986962,None,None,499.13982339858376,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Making cookies with your partner,social,1,0,90,90,8,,,,,,,,,,,,,,,,,,,,,,,,,501.95724673222685,None,$.04,2.341,0.01572810684547221,None,None,501.95724673222685,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Driving to school
by yourself",nonsocial,0,0,91,91,88,,,,,,,,,,,,,,,,,,,,,,,,,504.3270789978924,None,$.04,3.426,0.01424175876127265,None,None,504.3270789978924,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Snapchat your friends to keep your "Snapstreaks",social Media,2,0,92,92,51,,,,,,,,,,,,,,,,,,,,,,,,,507.8091394078806,None,$.04,4.565,0.02064527847323916,None,None,507.8091394078806,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Talking to a friend 
over Skype",social Media,2,0,93,93,12,,,,,,,,,,,,,,,,,,,,,,,,,512.4270045716326,None,$0,1.892,0.014628352330419148,None,None,512.4270045716326,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Going dancing with
a significant other",social,1,0,94,94,21,,,,,,,,,,,,,,,,,,,,,,,,,514.3611437073732,None,$.05,3.373,0.016440645757484162,None,None,514.3611437073732,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Getting likes on a 
Facebook status",social Media,2,0,95,95,45,,,,,,,,,,,,,,,,,,,,,,,,,517.7785919845437,None,$.02,2.688,0.017165936347737443,None,None,517.7785919845437,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Going to a museum 
alone",nonsocial,0,0,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,520.4959864869529,None,$0,2.014,0.012356065429230512,None,None,520.4959864869529,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Taking an online
class",nonsocial,0,0,97,97,86,,,,,,,,,,,,,,,,,,,,,,,,,522.5466473504657,None,$0,2.797,0.0123849899682682,None,None,522.5466473504657,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Going to the movies 
by yourself",nonsocial,0,0,98,98,77,,,,,,,,,,,,,,,,,,,,,,,,,525.3975279782712,None,$0,1.824,0.015369504765203601,None,None,525.3975279782712,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Taking an art class 
with friends",social,1,0,99,99,38,,,,,,,,,,,,,,,,,,,,,,,,,527.2650147126378,None,$.03,2.122,0.01733823951553859,None,None,527.2650147126378,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Going to a karaoke
bar with friends",social,1,0,100,100,43,,,,,,,,,,,,,,,,,,,,,,,,,529.4320194024563,None,$.04,2.406,0.016107236017433024,None,None,529.4320194024563,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Taking a road trip 
by yourself",nonsocial,0,0,101,101,75,,,,,,,,,,,,,,,,,,,,,,,,,531.8829837559169,None,$0,2.273,0.016091996206796466,None,None,531.8829837559169,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Getting retweeted by 
a celebrity",social Media,2,0,102,102,29,,,,,,,,,,,,,,,,,,,,,,,,,534.2001982419479,None,$.04,2.725,0.015134376254991366,None,None,534.2001982419479,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Going to a street fair
with friends",social,1,0,103,103,40,,,,,,,,,,,,,,,,,,,,,,,,,536.9531466010712,None,$.05,2.811,0.014700197153160843,None,None,536.9531466010712,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Going to a comedy show 
with a significant other",social,1,0,104,104,56,,,,,,,,,,,,,,,,,,,,,,,,,539.8185856024843,None,$.05,3.185,0.020049681783802953,None,None,539.8185856024843,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Getting drinks 
with co-workers",social,1,0,105,105,44,,,,,,,,,,,,,,,,,,,,,,,,,543.0695523196705,None,$.04,2.859,0.02973473709607788,None,None,543.0695523196705,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Practicing an
 instrument",nonsocial,0,0,106,106,61,,,,,,,,,,,,,,,,,,,,,,,,,545.9559221127479,None,$0,2.06,0.014466001692653663,None,None,545.9559221127479,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Playing ping-pong
with friends",social,1,0,107,107,22,,,,,,,,,,,,,,,,,,,,,,,,,548.0709749093621,None,$.05,2.058,0.014944034127438499,None,None,548.0709749093621,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Watching a football 
game from home",nonsocial,0,0,108,108,62,,,,,,,,,,,,,,,,,,,,,,,,,550.1716366592718,None,$.04,2.123,0.017435276678952505,None,None,550.1716366592718,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Calling a family member over Skype,social Media,2,0,109,109,32,,,,,,,,,,,,,,,,,,,,,,,,,552.3554614350369,None,$0,2.709,0.025481274782123364,None,None,552.3554614350369,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.0731473599517,556.0733607173038,space,13.650651284202922,555.0731473599517,None,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
