choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,10.60192058,None,space,11.30641131,10.60192058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
,,,,,,,,,,,,,21.93810603,None,space,16.89795797,21.93810603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
,,,,,,,,,,,,,,,,,,,38.85973944,38.85973944,space,44.19950716,38.85973944,None,,,,,,,,,,,,,,,,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
,,,,,,,,,,,,,,,,,,,,,,,,,83.08940983,83.08940983,space,32.12126311,83.08940983,None,,,,,,,,,,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
Taking a nap,NS,0,0,0,0,74,,,,,,,,,,,,,,,,,,,,,,,,,115.749072,None,$0.04 ,10.523,0.428580093,None,None,115.749072,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
"Planting flowers 
in a garden",NS,0,0,1,1,67,,,,,,,,,,,,,,,,,,,,,,,,,126.3351457,None,$0 ,4.725,0.037984333,None,None,126.3351457,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
"Cleaning up around 
the house",NS,0,0,2,2,79,,,,,,,,,,,,,,,,,,,,,,,,,131.120066,None,$0.05 ,3.752,0.03508629,None,None,131.120066,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
"Taking your friend 
on a cruise",S,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,134.9221855,None,$0.05 ,2.37,0.023867025,None,None,134.9221855,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
"Getting likes on an
Instagram picture",SM,2,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,137.3885571,None,$0.02 ,3.488,0.048385938,None,None,137.3885571,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
Snapchatting your friends,SM,2,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,140.9396779,None,$0.05 ,2.87,0.036235492,None,None,140.9396779,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
Listening to a podcast,NS,0,0,6,6,102,,,,,,,,,,,,,,,,,,,,,,,,,143.8587691,None,$0.04 ,2.066,0.02600619,None,None,143.8587691,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
Going on a blind date,S,1,0,7,7,34,,,,,,,,,,,,,,,,,,,,,,,,,146.0078615,None,$0.03 ,3.748,0.037829136,None,None,146.0078615,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
Direct messaging your crush on Snapchat,SM,2,0,8,8,54,,,,,,,,,,,,,,,,,,,,,,,,,149.8086962,None,$0.03 ,2.87,0.036049194,None,None,149.8086962,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
"Going to a karaoke
bar with friends",S,1,0,9,9,43,,,,,,,,,,,,,,,,,,,,,,,,,152.7597383,None,$0.02 ,4.111,0.039324188,None,None,152.7597383,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
Having hundreds of friends on Facebook,SM,2,0,10,10,59,,,,,,,,,,,,,,,,,,,,,,,,,156.9274441,None,$0 ,3.119,0.03319376,None,None,156.9274441,None,,,,,,,13,1,2020_Jan_31_0945,choiceText,3.1.2,59.96931846
