choices,,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,10.14329821,None,space,15.0688854,10.14329821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
,,,,,,,,,,,,25.23071435,None,space,1.205350559,25.23071435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
,,,,,,,,,,,,,,,,,,26.46439052,26.46439052,space,4.23561474,26.46439052,None,,,,,,,,,,,,,,,,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
,,,,,,,,,,,,,,,,,,,,,,,,30.71566717,30.71566717,space,27.9920563,30.71566717,None,,,,,,,,,,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
Reading at the library,NS,0,0,0,78,,,,,,,,,,,,,,,,,,,,,,,,,59.40721306,None,$0 ,14.2,0.598146398,None,None,59.40721306,None,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
"Going for a bicycle
ride alone",NS,0,1,1,95,,,,,,,,,,,,,,,,,,,,,,,,,73.66179862,None,$0.01 ,5.951,0.038286256,None,None,73.66179862,None,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
Taking classes with a friend,S,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,79.68016203,None,$0.05 ,3.877,0.031711657,None,None,79.68016203,None,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
Getting 1 million subscribers on Youtube,SM,0,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,83.63114878,None,$0.01 ,6.459,0.0455255,None,None,83.63114878,None,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
Practicing photography,NS,0,4,4,65,,,,,,,,,,,,,,,,,,,,,,,,,90.15004636,None,$0.05 ,3.945,0.029063032,None,None,90.15004636,None,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
Taking a nap,NS,0,5,5,74,,,,,,,,,,,,,,,,,,,,,,,,,94.13655131,None,$0 ,2.681,0.030032473,None,None,94.13655131,None,,,,,,,4,1,2020_Jan_07_1250,choiceText,3.1.2,60.12347249
