selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,response3.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,7,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,8,8,2,0,0,0,0,,,,,,,,,,,,,111.79307693671399,113.77702532273497,111.79307693671399,113.77702532273497,None,,111.79307693671399,113.77702532273497,113.7936949285172,None,115.8109616879292,117.7782183859249,115.8109616879292,116.77791980910979,116.7945931471022,117.7782183859249,117.79490634174044,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,9,9,14,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,119.79548234617914,121.77945654665427,119.79548234617914,121.77945654665427,1,119.79548234617914,121.77945654665427,121.79610282612293,None,123.79668038564932,125.780618197075,123.79668038564932,124.78032988383802,124.79698984807737,125.780618197075,125.79729246811985,None,1.5898708437562163,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,10,10,11,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,127.78234434428623,129.78183023233305,127.78234434428623,129.78183023233305,2,127.78234434428623,129.78183023233305,129.79850574744796,None,131.79904349673234,133.78303822436374,131.79904349673234,132.78272409667306,132.79941143045335,133.78303822436374,133.7997131174434,None,1.8588894870790682,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,11,11,18,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,135.78471305368475,137.78423906299122,135.78471305368475,137.78423906299122,2,135.78471305368475,137.78423906299122,137.8009136450537,None,139.80152914871678,141.7854392795839,139.80152914871678,140.78517149350273,140.80181839500665,141.7854392795839,141.8021007989105,None,0.22438016541764227,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,12,12,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,143.78703448842134,145.78663078768614,143.78703448842134,145.78663078768614,None,143.78703448842134,145.78663078768614,145.80331781044924,None,147.82055502319736,149.78784562210194,147.82055502319736,148.7875346045862,148.8042038993508,149.78784562210194,149.8044940786931,None,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
