choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,10.601920583401807,None,space,11.30641130625736,10.601920583401807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
,,,,,,,,,,,,,21.938106033252552,None,space,16.89795796503313,21.938106033252552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
,,,,,,,,,,,,,,,,,,,38.85973943735007,38.85973943735007,space,44.199507164768875,38.85973943735007,None,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
,,,,,,,,,,,,,,,,,,,,,,,,,83.08940982620697,83.08940982620697,space,32.12126310903113,83.08940982620697,None,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Taking a nap,nonsocial,0,0,0,0,74,,,,,,,,,,,,,,,,,,,,,,,,,115.74907200725283,None,$.04,10.523,0.42858009261544794,None,None,115.74907200725283,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Planting flowers 
in a garden",nonsocial,0,0,1,1,67,,,,,,,,,,,,,,,,,,,,,,,,,126.3351457248209,None,$0,4.725,0.037984333001077175,None,None,126.3351457248209,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Cleaning up around 
the house",nonsocial,0,0,2,2,79,,,,,,,,,,,,,,,,,,,,,,,,,131.12006600992754,None,$.05,3.752,0.035086289630271494,None,None,131.12006600992754,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Taking your friend 
on a cruise",social,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,134.9221854567295,None,$.05,2.37,0.02386702469084412,None,None,134.9221854567295,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting likes on an
Instagram picture",social Media,2,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,137.38855705258902,None,$.02,3.488,0.04838593804743141,None,None,137.38855705258902,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Snapchatting your friends,social Media,2,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,140.9396779059898,None,$.05,2.87,0.03623549221083522,None,None,140.9396779059898,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
