choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,9.980572290889768,None,space,15.777717647724785,9.980572290889768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
,,,,,,,,,,,25.78538143032597,None,space,0.7329329915871767,25.78538143032597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
,,,,,,,,,,,,,,,,,26.5355482134687,26.5355482134687,space,5.158677715252907,26.5355482134687,None,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
,,,,,,,,,,,,,,,,,,,,,,,31.720263693090374,31.720263693090374,space,21.893651603777244,31.720263693090374,None,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Playing a videogame 
at home",0,0,0,98,,,,,,,,,,,,,,,,,,,,,,,,,54.49357764381216,None,$.01,12.481,0.7513766412782843,None,None,54.49357764381216,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Going dancing with
a significant other",0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,67.01392052196206,None,$.05,5.253,0.021929845023123562,None,None,67.01392052196206,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Watching a football 
game from home",0,2,2,62,,,,,,,,,,,,,,,,,,,,,,,,,72.33254117172123,None,$.02,3.837,0.03135025455230789,None,None,72.33254117172123,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Taking a road trip 
by yourself",0,3,3,75,,,,,,,,,,,,,,,,,,,,,,,,,76.21695306714582,None,$.03,5.765,0.02441767413006346,None,None,76.21695306714582,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
Having a Tweet go viral,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,82.03535740422285,None,$0,2.927,0.018929770067870777,None,None,82.03535740422285,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Going to a music
festival with friends",0,5,5,30,,,,,,,,,,,,,,,,,,,,,,,,,85.00270274221043,None,$.05,3.417,0.02392564442038747,None,None,85.00270274221043,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Trying to solve a 
Rubik’s cube",0,6,6,73,,,,,,,,,,,,,,,,,,,,,,,,,88.4719494857793,None,$.01,4.112,0.028058134149887337,None,None,88.4719494857793,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Playing ping-pong
with friends",0,7,7,22,,,,,,,,,,,,,,,,,,,,,,,,,92.63858613925572,None,$0,3.391,0.01584167715577678,None,None,92.63858613925572,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Going to a museum 
alone",0,8,8,96,,,,,,,,,,,,,,,,,,,,,,,,,96.05717994820316,None,$.01,4.663,0.013329588682609028,None,None,96.05717994820316,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Trying out a new 
recipe at home",0,9,9,68,,,,,,,,,,,,,,,,,,,,,,,,,100.77420470488642,None,$.05,4.101,0.02268033028803984,None,None,100.77420470488642,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Taking an online
class",0,10,10,86,,,,,,,,,,,,,,,,,,,,,,,,,104.91070438313886,None,$.05,2.378,0.015326632149935904,None,None,104.91070438313886,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
Looking at your Facebook feed,0,11,11,55,,,,,,,,,,,,,,,,,,,,,,,,,107.34314158170446,None,$0,3.363,0.02531620373270016,None,None,107.34314158170446,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
Reading a book,0,12,12,92,,,,,,,,,,,,,,,,,,,,,,,,,110.74393803535827,None,$0,2.415,0.011563009194105689,None,None,110.74393803535827,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Watching YouTube
videos",0,13,13,81,,,,,,,,,,,,,,,,,,,,,,,,,113.21137994428432,None,$.01,3.772,0.018708636614292118,None,None,113.21137994428432,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
Direct messaging friends on Instagrams,0,14,14,28,,,,,,,,,,,,,,,,,,,,,,,,,117.045643375498,None,$0,5.134,0.03521122599045157,None,None,117.045643375498,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
Going to the zoo with friends,0,15,15,52,,,,,,,,,,,,,,,,,,,,,,,,,122.23054391054143,None,$.05,2.841,0.016780639035232525,None,None,122.23054391054143,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Cleaning up around 
the house",0,16,16,79,,,,,,,,,,,,,,,,,,,,,,,,,125.11504973325577,None,$.03,3.042,0.015513242659153548,None,None,125.11504973325577,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Going on a hike 
by yourself",0,17,17,108,,,,,,,,,,,,,,,,,,,,,,,,,128.1990328599336,None,$.04,3.042,0.015019346844383108,None,None,128.1990328599336,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Learning to drive 
with a family member",0,18,18,46,,,,,,,,,,,,,,,,,,,,,,,,,131.28343586025744,None,$.05,3.007,0.0177124475119399,None,None,131.28343586025744,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
"Going on a weekend
getaway with family",0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,134.35095154253804,None,$.05,2.401,0.03509024017716911,None,None,134.35095154253804,None,,,,,,,011,001,2020_Jan_11_1145,choiceText,3.1.2,59.999944016933505,
