selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,4,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,5,5,12,0,0,0,0,,,,,,,,,,,,,89.12267069492373,91.1231297524937,89.12267069492373,91.1231297524937,2,0.3358298476377968,89.12267069492373,91.1231297524937,91.13978614012012,None,93.12375458085444,95.12428206164623,93.12375458085444,94.12409700793796,94.14083643647609,95.12428206164623,95.14109706672025,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,6,6,14,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,97.12504218134563,99.12559298824635,97.12504218134563,99.12559298824635,1,0.2853042795904912,97.12504218134563,99.12559298824635,99.14217317730072,None,101.12608190320316,103.12653909469373,101.12608190320316,102.12637798913056,102.14309471359593,103.12653909469373,103.14342127894633,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,7,7,21,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,105.12750386202242,107.12807799500297,105.12750386202242,107.12807799500297,1,0.36266418849118054,105.12750386202242,107.12807799500297,107.14464667651919,None,109.12864715175238,111.12908443828928,109.12864715175238,110.12878430919955,110.1453819150629,111.12908443828928,111.14563974618795,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,7,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,8,8,18,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,113.12967940923409,115.13020937814144,113.12967940923409,115.13020937814144,1,0.41646442940691486,113.12967940923409,115.13020937814144,115.14679236634402,None,117.1307614290854,119.13138065917883,117.1307614290854,118.13125967449741,118.14787003197125,119.13138065917883,119.14790020039072,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,9,9,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1319236907002,123.13254665298155,121.1319236907002,123.13254665298155,1,0.41391442058375105,121.1319236907002,123.13254665298155,123.14927301890566,None,125.13323959353147,127.13371046964312,125.13323959353147,126.13335529097822,126.15005086644669,127.13371046964312,127.15040635614423,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,10,10,5,0,0,0,0,,,,,,,,,,,,,129.13438754845993,131.13486091271625,129.13438754845993,131.13486091271625,1,0.4272619237599429,129.13438754845993,131.13486091271625,131.15151792237884,None,133.1354462422023,135.13599051779602,133.1354462422023,134.13576658727834,134.15238036590745,135.13599051779602,135.15263135469286,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,11,11,13,0,0,0,0,,,,,,,,,,,,,137.1365733591665,139.13713007533806,137.1365733591665,139.13713007533806,1,0.4088878024194855,137.1365733591665,139.13713007533806,139.15401661378564,None,141.13780808719457,143.13850600397564,141.13780808719457,142.13811225947575,142.1548619515088,143.13850600397564,143.15514870698098,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,12,12,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,145.13889135108911,147.13950871510315,145.13889135108911,147.13950871510315,2,0.3344013575115241,145.13889135108911,147.13950871510315,147.1562189082615,None,149.13999296486145,151.14066351237125,149.13999296486145,150.1405580783903,150.15698120507295,151.14066351237125,151.15727200373658,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,13,13,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,153.1413511656574,155.1417800548079,153.1413511656574,155.1417800548079,2,0.4757783373934217,153.1413511656574,155.1417800548079,155.15850424364908,None,157.14359606915968,159.14294791469,157.14359606915968,158.14280049377703,158.15928333523334,159.14294791469,159.15961083362345,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,14,14,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,161.1435889158165,163.14406974441954,161.1435889158165,163.14406974441954,2,0.5133526349090971,161.1435889158165,163.14406974441954,163.16083965238067,None,165.14467591189896,167.1452537770383,165.14467591189896,166.14495924618677,166.16167876980035,167.1452537770383,167.1619624151208,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,15,15,2,0,0,0,0,,,,,,,,,,,,,169.14594018628122,171.14654013348627,169.14594018628122,171.14654013348627,2,0.5668561678903643,169.14594018628122,171.14654013348627,171.16314084950136,None,173.1470937395061,175.14764952260884,173.1470937395061,174.14728781260783,174.16403066230123,175.14764952260884,175.16433949981,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
