choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,9.67746073982562,None,space,28.269818550965283,9.67746073982562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
,,,,,,,,,,,,,37.968287705938565,None,space,1.6991490329091903,37.968287705938565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
,,,,,,,,,,,,,,,,,,,39.68545723657007,39.68545723657007,space,26.4692274366098,39.68545723657007,None,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
,,,,,,,,,,,,,,,,,,,,,,,,,66.17664790313574,66.17664790313574,space,57.17680434350041,66.17664790313574,None,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
"Going for a bicycle
ride alone",nonsocial,0,0,0,0,95,,,,,,,,,,,,,,,,,,,,,,,,,124.16021513502346,None,$.02,14.442,0.7095201262272894,None,None,124.16021513502346,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
"Going on a hike 
by yourself",nonsocial,0,0,1,1,108,,,,,,,,,,,,,,,,,,,,,,,,,138.63109965747572,None,$.01,4.26,0.016798832337372005,None,None,138.63109965747572,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
Taking classes with a friend,social,1,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,142.9322280495835,None,$.05,5.387,0.020568640436977148,None,None,142.9322280495835,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
Looking at your friend's Snapchat stories,social Media,2,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,148.3671683021239,None,$.03,4.564,0.02169358031824231,None,None,148.3671683021239,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
"Getting ice cream
with friends",social,1,0,4,4,49,,,,,,,,,,,,,,,,,,,,,,,,,152.98523053800454,None,$.05,2.088,0.016893380758119747,None,None,152.98523053800454,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
"Going dancing with
a significant other",social,1,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,,,,155.11927192722214,None,$.05,1.823,0.015649322303943336,None,None,155.11927192722214,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
"Going to a music
festival with friends",social,1,0,6,6,30,,,,,,,,,,,,,,,,,,,,,,,,,156.98632157727843,None,$.05,1.651,0.01924278517253697,None,None,156.98632157727843,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
"Painting your bedroom
a new color",nonsocial,0,0,7,7,101,,,,,,,,,,,,,,,,,,,,,,,,,158.7034317041398,None,$.05,1.789,0.033955953491386026,None,None,158.7034317041398,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
"Taking a road trip 
by yourself",nonsocial,0,0,8,8,75,,,,,,,,,,,,,,,,,,,,,,,,,160.5374789715279,None,$0,5.838,0.01828454915084876,None,None,160.5374789715279,None,,,,,,,015,001,2020_Feb_07_0951,choiceText,3.1.2,60.050258488804005,
