choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,11.426649618864758,None,space,24.776666242658393,11.426649618864758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
,,,,,,,,,,,36.23296311075683,None,space,60.24129863936105,36.23296311075683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
,,,,,,,,,,,,,,,,,96.5007117591449,96.5007117591449,space,30.03699903553934,96.5007117591449,None,,,,,,,,,,,,,,,,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
,,,,,,,,,,,,,,,,,,,,,,,126.55951858518529,126.55951858518529,space,135.10364905250026,126.55951858518529,None,,,,,,,,,,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Practicing an
 instrument",0,0,0,61,,,,,,,,,,,,,,,,,,,,,,,,,262.4159712099063,None,$.05,29.273,0.638989908475196,None,None,262.4159712099063,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Trying out a new 
recipe at home",0,1,1,68,,,,,,,,,,,,,,,,,,,,,,,,,291.74116225898615,None,$.05,4.608,0.03549589723115787,None,None,291.74116225898615,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Having hundreds of friends on Facebook,0,2,2,59,,,,,,,,,,,,,,,,,,,,,,,,,296.4258347580326,None,$0,4.946,0.04201571687008254,None,None,296.4258347580326,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Snapchatting your friends,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,301.4273033736099,None,$0,3.243,0.03573600127128884,None,None,301.4273033736099,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Getting likes on an
Instagram picture",0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,304.7282666199608,None,$0,3.687,0.03752713999710977,None,None,304.7282666199608,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Direct messaging friends on Instagrams,0,5,5,28,,,,,,,,,,,,,,,,,,,,,,,,,308.4793804445071,None,$0,3.586,0.03767393933958374,None,None,308.4793804445071,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Playing a videogame 
at home",0,6,6,98,,,,,,,,,,,,,,,,,,,,,,,,,312.13053510541795,None,$.01,14.868,0.025226473750080913,None,None,312.13053510541795,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Practicing photography,0,7,7,65,,,,,,,,,,,,,,,,,,,,,,,,,327.0348116629466,None,$.01,3.652,0.026436324405949563,None,None,327.0348116629466,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Watching Netflix at home 
by yourself",0,8,8,76,,,,,,,,,,,,,,,,,,,,,,,,,330.7526415330649,None,$.05,4.449,0.03734550689114258,None,None,330.7526415330649,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Buying clothes 
for yourself",0,9,9,85,,,,,,,,,,,,,,,,,,,,,,,,,335.27056302837445,None,$.05,3.227,0.03354987275088206,None,None,335.27056302837445,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Working on a group
project with classmates",0,10,10,42,,,,,,,,,,,,,,,,,,,,,,,,,338.5555966787215,None,$.02,10.601,0.03681802446953952,None,None,338.5555966787215,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Going to a street fair
with friends",0,11,11,40,,,,,,,,,,,,,,,,,,,,,,,,,349.22468605308677,None,$.02,13.442,0.033651263831416145,None,None,349.22468605308677,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Going to a comedy show 
with a significant other",0,12,12,56,,,,,,,,,,,,,,,,,,,,,,,,,362.72863672851236,None,$.01,3.859,0.030608598375692964,None,None,362.72863672851236,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Talking to a friend 
over Skype",0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,366.6464530383528,None,$.02,7.171,0.03836999222403392,None,None,366.6464530383528,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Shopping online,0,14,14,69,,,,,,,,,,,,,,,,,,,,,,,,,373.8652596528991,None,$.04,6.92,0.02640926602180116,None,None,373.8652596528991,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Playing volleyball
with friends",0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,380.85067799841636,None,$.03,3.775,0.03131398174446076,None,None,380.85067799841636,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Painting your bedroom
a new color",0,16,16,101,,,,,,,,,,,,,,,,,,,,,,,,,384.6851104089583,None,$0,7.778,0.031444608262972906,None,None,384.6851104089583,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Getting drinks 
with co-workers",0,17,17,44,,,,,,,,,,,,,,,,,,,,,,,,,392.5207284109201,None,$0,3.161,0.029214937589131296,None,None,392.5207284109201,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Teaching yourself a 
different language",0,18,18,66,,,,,,,,,,,,,,,,,,,,,,,,,395.7383637407911,None,$.04,5.424,0.029792493500281125,None,None,395.7383637407911,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Going for a walk 
in the park",0,19,19,64,,,,,,,,,,,,,,,,,,,,,,,,,401.2233564614726,None,$.02,4.292,0.02943047136068344,None,None,401.2233564614726,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Going sight-seeing
with family",0,20,20,24,,,,,,,,,,,,,,,,,,,,,,,,,405.5747266250837,None,$0,3.202,0.031165005289949477,None,None,405.5747266250837,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Getting a lot of comments on your Instagram post,0,21,21,41,,,,,,,,,,,,,,,,,,,,,,,,,408.8269935398712,None,$0,3.248,0.025691131042549387,None,None,408.8269935398712,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Going to the zoo with friends,0,22,22,52,,,,,,,,,,,,,,,,,,,,,,,,,412.14336574217305,None,$.03,4.804,0.03229647994157858,None,None,412.14336574217305,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
"Going to a music
festival with friends",0,23,23,30,,,,,,,,,,,,,,,,,,,,,,,,,417.01135424579843,None,$.01,3.824,0.02822653006296605,None,None,417.01135424579843,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Going to a coffee shop with friends,0,24,24,58,,,,,,,,,,,,,,,,,,,,,,,,,420.89573451460456,None,$.04,9.594,0.03030535820289515,None,None,420.89573451460456,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
Becoming "InstaFamous",0,25,25,36,,,,,,,,,,,,,,,,,,,,,,,,,430.5337363265862,None,$0,2.463,0.028975455585168675,None,None,430.5337363265862,None,,,,,,,002,001,2020_Jan_06_1146,choiceText,3.1.2,59.85990434967755,
