choices,,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,11.42664962,None,space,24.77666624,11.42664962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
,,,,,,,,,,,,36.23296311,None,space,60.24129864,36.23296311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
,,,,,,,,,,,,,,,,,,96.50071176,96.50071176,space,30.03699904,96.50071176,None,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
,,,,,,,,,,,,,,,,,,,,,,,,126.5595186,126.5595186,space,135.1036491,126.5595186,None,,,,,,,,,,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Practicing an instrument",NS,0,0,0,61,,,,,,,,,,,,,,,,,,,,,,,,,262.4159712,None,$0.05 ,29.273,0.638989908,None,None,262.4159712,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Trying out a new recipe at home",NS,0,1,1,68,,,,,,,,,,,,,,,,,,,,,,,,,291.7411623,None,$0.05 ,4.608,0.035495897,None,None,291.7411623,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Having hundreds of friends on Facebook,SM,0,2,2,59,,,,,,,,,,,,,,,,,,,,,,,,,296.4258348,None,$0 ,4.946,0.042015717,None,None,296.4258348,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Snapchatting your friends,SM,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,301.4273034,None,$0 ,3.243,0.035736001,None,None,301.4273034,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Getting likes on anInstagram picture",SM,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,304.7282666,None,$0 ,3.687,0.03752714,None,None,304.7282666,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Direct messaging friends on Instagrams,SM,0,5,5,28,,,,,,,,,,,,,,,,,,,,,,,,,308.4793804,None,$0 ,3.586,0.037673939,None,None,308.4793804,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Playing a videogame at home",NS,0,6,6,98,,,,,,,,,,,,,,,,,,,,,,,,,312.1305351,None,$0.01 ,14.868,0.025226474,None,None,312.1305351,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Practicing photography,NS,0,7,7,65,,,,,,,,,,,,,,,,,,,,,,,,,327.0348117,None,$0.01 ,3.652,0.026436324,None,None,327.0348117,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Watching Netflix at home by yourself",NS,0,8,8,76,,,,,,,,,,,,,,,,,,,,,,,,,330.7526415,None,$0.05 ,4.449,0.037345507,None,None,330.7526415,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Buying clothes for yourself",NS,0,9,9,85,,,,,,,,,,,,,,,,,,,,,,,,,335.270563,None,$0.05 ,3.227,0.033549873,None,None,335.270563,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Working on a groupproject with classmates",S,0,10,10,42,,,,,,,,,,,,,,,,,,,,,,,,,338.5555967,None,$0.02 ,10.601,0.036818024,None,None,338.5555967,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going to a street fairwith friends",S,0,11,11,40,,,,,,,,,,,,,,,,,,,,,,,,,349.2246861,None,$0.02 ,13.442,0.033651264,None,None,349.2246861,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going to a comedy show with a significant other",S,0,12,12,56,,,,,,,,,,,,,,,,,,,,,,,,,362.7286367,None,$0.01 ,3.859,0.030608598,None,None,362.7286367,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Talking to a friend over Skype",SM,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,366.646453,None,$0.02 ,7.171,0.038369992,None,None,366.646453,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Shopping online,NS,0,14,14,69,,,,,,,,,,,,,,,,,,,,,,,,,373.8652597,None,$0.04 ,6.92,0.026409266,None,None,373.8652597,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Playing volleyballwith friends",S,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,380.850678,None,$0.03 ,3.775,0.031313982,None,None,380.850678,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Painting your bedrooma new color",NS,0,16,16,101,,,,,,,,,,,,,,,,,,,,,,,,,384.6851104,None,$0 ,7.778,0.031444608,None,None,384.6851104,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Getting drinks with co-workers",S,0,17,17,44,,,,,,,,,,,,,,,,,,,,,,,,,392.5207284,None,$0 ,3.161,0.029214938,None,None,392.5207284,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Teaching yourself a different language",NS,0,18,18,66,,,,,,,,,,,,,,,,,,,,,,,,,395.7383637,None,$0.04 ,5.424,0.029792494,None,None,395.7383637,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going for a walk in the park",NS,0,19,19,64,,,,,,,,,,,,,,,,,,,,,,,,,401.2233565,None,$0.02 ,4.292,0.029430471,None,None,401.2233565,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going sight-seeingwith family",S,0,20,20,24,,,,,,,,,,,,,,,,,,,,,,,,,405.5747266,None,$0 ,3.202,0.031165005,None,None,405.5747266,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Getting a lot of comments on your Instagram post,SM,0,21,21,41,,,,,,,,,,,,,,,,,,,,,,,,,408.8269935,None,$0 ,3.248,0.025691131,None,None,408.8269935,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Going to the zoo with friends,S,0,22,22,52,,,,,,,,,,,,,,,,,,,,,,,,,412.1433657,None,$0.03 ,4.804,0.03229648,None,None,412.1433657,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going to a musicfestival with friends",S,0,23,23,30,,,,,,,,,,,,,,,,,,,,,,,,,417.0113542,None,$0.01 ,3.824,0.02822653,None,None,417.0113542,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Going to a coffee shop with friends,S,0,24,24,58,,,,,,,,,,,,,,,,,,,,,,,,,420.8957345,None,$0.04 ,9.594,0.030305358,None,None,420.8957345,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Becoming ""InstaFamous""",SM,0,25,25,36,,,,,,,,,,,,,,,,,,,,,,,,,430.5337363,None,$0 ,2.463,0.028975456,None,None,430.5337363,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going to the beach alone",NS,0,26,26,80,,,,,,,,,,,,,,,,,,,,,,,,,433.066135,None,$0 ,7.511,0.03241591,None,None,433.066135,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Planting flowers in a garden",NS,0,27,27,67,,,,,,,,,,,,,,,,,,,,,,,,,440.6181876,None,$0.02 ,3.435,0.027140464,None,None,440.6181876,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Writing journal entries,NS,0,28,28,107,,,,,,,,,,,,,,,,,,,,,,,,,444.103366,None,$0.02 ,3.566,0.0264074,None,None,444.103366,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Sharing Youtube videos with your partner,SM,0,29,29,9,,,,,,,,,,,,,,,,,,,,,,,,,447.7388069,None,$0.04 ,4.248,0.041368182,None,None,447.7388069,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Getting a haircut,NS,0,30,30,91,,,,,,,,,,,,,,,,,,,,,,,,,452.0549185,None,$0.01 ,3.247,0.02826012,None,None,452.0549185,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Getting a slice of pizza by yourself",NS,0,31,31,72,,,,,,,,,,,,,,,,,,,,,,,,,455.3558665,None,$0.03 ,3.499,0.03889001,None,None,455.3558665,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Exercising from home,NS,0,32,32,71,,,,,,,,,,,,,,,,,,,,,,,,,458.9080563,None,$0.03 ,2.348,0.025672781,None,None,458.9080563,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going to a bar with friends",S,0,33,33,35,,,,,,,,,,,,,,,,,,,,,,,,,461.3242673,None,$0 ,3.421,0.037043511,None,None,461.3242673,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Watching a new episode of a television show",NS,0,34,34,97,,,,,,,,,,,,,,,,,,,,,,,,,464.8086458,None,$0.02 ,4.153,0.036454447,None,None,464.8086458,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Looking through old photo albums",NS,0,35,35,106,,,,,,,,,,,,,,,,,,,,,,,,,469.0265694,None,$0.03 ,2.937,0.031467934,None,None,469.0265694,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Taking an art class with friends",S,0,36,36,38,,,,,,,,,,,,,,,,,,,,,,,,,472.0108093,None,$0.05 ,3.906,0.019552306,None,None,472.0108093,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going on a first date to the movies",S,0,37,37,20,,,,,,,,,,,,,,,,,,,,,,,,,475.9785856,None,$0.04 ,5.645,0.02925257,None,None,475.9785856,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Going grocery shopping alone",NS,0,38,38,89,,,,,,,,,,,,,,,,,,,,,,,,,481.6804352,None,$0 ,2.576,0.030173177,None,None,481.6804352,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
Studying for a test alone,NS,0,39,39,99,,,,,,,,,,,,,,,,,,,,,,,,,484.3143842,None,$0.05 ,3.828,0.03120637,None,None,484.3143842,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
"Buying coffee on the way to work",NS,0,40,40,63,,,,,,,,,,,,,,,,,,,,,,,,,488.1989517,None,$0.01 ,4.508,0.028273493,None,None,488.1989517,None,,,,,,,2,1,2020_Jan_06_1146,choiceText,3.1.2,59.85990435
