choices,,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,10.19266882,None,space,25.54278435,10.19266882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
,,,,,,,,,,,,35.76469939,None,space,1.594859565,35.76469939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
,,,,,,,,,,,,,,,,,,37.38209808,37.38209808,space,14.10507696,37.38209808,None,,,,,,,,,,,,,,,,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
,,,,,,,,,,,,,,,,,,,,,,,,51.5194487,51.5194487,space,97.2146024,51.5194487,None,,,,,,,,,,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
"Going grocery shopping 
alone",NS,0,0,0,89,,,,,,,,,,,,,,,,,,,,,,,,,149.7988787,None,$0.04 ,19.409,0.955800368,None,None,149.7988787,None,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
"Talking to a friend 
over Skype",SM,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,169.2548624,None,$0.05 ,9.286,0.021697204,None,None,169.2548624,None,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
"Putting together 
a puzzle",NS,0,2,2,60,,,,,,,,,,,,,,,,,,,,,,,,,178.5909414,None,$0 ,4.46,0.015621788,None,None,178.5909414,None,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
"Going to a bar 
with friends",S,0,3,3,35,,,,,,,,,,,,,,,,,,,,,,,,,183.0923349,None,$0.05 ,6.44,0.01745959,None,None,183.0923349,None,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
Snapchatting your friends,SM,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,189.563197,None,$0.02 ,3.495,0.013905282,None,None,189.563197,None,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
Taking classes with a friend,S,0,5,5,25,,,,,,,,,,,,,,,,,,,,,,,,,193.1120901,None,$0.04 ,3.31,0.015144376,None,None,193.1120901,None,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
"Watching a new 
episode of a television 
show",NS,0,6,6,97,,,,,,,,,,,,,,,,,,,,,,,,,196.4628084,None,$0.05 ,3.38,0.022754663,None,None,196.4628084,None,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
"Painting your bedroom
a new color",NS,0,7,7,101,,,,,,,,,,,,,,,,,,,,,,,,,199.8973564,None,$0.01 ,3.353,0.019141573,None,None,199.8973564,None,,,,,,,5,1,2020_Jan_08_1132,choiceText,3.1.2,59.8982276
