selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,8,8,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,97.25343293358242,99.23738100858623,97.25343293358242,99.23738100858623,2,0.6136431565416842,97.25343293358242,99.23738100858623,99.25404314994807,None,101.25462319761459,103.23857189465343,101.25462319761459,102.23827114071582,102.25494447870824,103.23857189465343,103.25525083096113,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,9,9,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,105.24034718263215,107.23978672906924,105.24034718263215,107.23978672906924,1,0.3065649888203552,105.24034718263215,107.23978672906924,107.25644918144849,None,109.25702829606257,111.24095397780525,109.25702829606257,110.24069085698693,110.25735237631375,111.24095397780525,111.25765717347895,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,10,10,19,0,0,0,0,,,,,,,,,,,,,113.24269785301499,115.2421778317289,113.24269785301499,115.2421778317289,1,0.3601243821249227,113.24269785301499,115.2421778317289,115.25885272480878,None,117.25941411142458,119.24339111105724,117.25941411142458,118.24305116891264,118.25974161286831,119.24339111105724,119.26006320497959,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,10,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,11,11,11,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.24600925650338,123.24457919796669,121.24600925650338,123.24457919796669,1,0.5567126443861525,121.24600925650338,123.24457919796669,123.26131349539219,None,125.26181081239952,127.24577599336658,125.26181081239952,126.24549980981283,126.26216599440227,127.24577599336658,127.26247421276025,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,12,12,24,0,0,0,0,,,,,,,,,,,,,129.24839444983013,131.2469730997841,129.24839444983013,131.2469730997841,2,0.31428257745187693,129.24839444983013,131.2469730997841,131.263655768302,None,133.2642460795464,135.2481978867604,133.2642460795464,134.2479409862924,134.26460095053176,135.2481978867604,135.26486624847257,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,12,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
