choices,,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,9.606778979,None,space,25.38878126,9.606778979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
,,,,,,,,,,,,35.01207739,None,space,1.591492827,35.01207739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
,,,,,,,,,,,,,,,,,,36.62967913,36.62967913,space,0.981858405,36.62967913,None,,,,,,,,,,,,,,,,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
,,,,,,,,,,,,,,,,,,,,,,,,37.62999357,37.62999357,space,31.4689408,37.62999357,None,,,,,,,,,,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
"Playing ping-pongwith friends",S,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,70.18927379,None,$0.01 ,11.611,0.961264133,None,None,70.18927379,None,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
Taking a nap,NS,0,1,1,74,,,,,,,,,,,,,,,,,,,,,,,,,81.84266202,None,$0.04 ,3.206,0.020262106,None,None,81.84266202,None,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
"Going to a museum alone",NS,0,2,2,96,,,,,,,,,,,,,,,,,,,,,,,,,85.1102762,None,$0 ,2.76,0.031331496,None,None,85.1102762,None,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
"Watching YouTubevideos",NS,0,3,3,81,,,,,,,,,,,,,,,,,,,,,,,,,87.92784478,None,$0.02 ,1.822,0.03472873,None,None,87.92784478,None,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
"Getting retweeted by a celebrity",SM,0,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,89.81169099,None,$0 ,3.29,0.033176446,None,None,89.81169099,None,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
"Taking an art class with friends",S,0,5,5,38,,,,,,,,,,,,,,,,,,,,,,,,,93.16292446,None,$0.02 ,2.39,0.031491359,None,None,93.16292446,None,,,,,,,6,1,2020_Jan_08_1955,choiceText,3.1.2,59.85514936
