choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,13.877169132545987,None,space,22.518247071875294,13.877169132545987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
,,,,,,,,,,,36.4172805317603,None,space,2.6259859552019407,36.4172805317603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
,,,,,,,,,,,,,,,,,39.06806430413735,39.06806430413735,space,31.142770325349147,39.06806430413735,None,,,,,,,,,,,,,,,,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
,,,,,,,,,,,,,,,,,,,,,,,70.22713366132939,70.22713366132939,space,17.58312005506218,70.22713366132939,None,,,,,,,,,,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
"Teaching yourself a 
different language",0,0,0,66,,,,,,,,,,,,,,,,,,,,,,,,,88.79893713865931,None,$.03,11.165,0.8204049223661514,None,None,88.79893713865931,None,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
Doing your laundry,0,1,1,105,,,,,,,,,,,,,,,,,,,,,,,,,100.01896753722758,None,$.01,6.316,0.02798353986258917,None,None,100.01896753722758,None,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
"Getting drinks 
with co-workers",0,2,2,44,,,,,,,,,,,,,,,,,,,,,,,,,106.38719795427028,None,$.04,10.106,0.03535458620604004,None,None,106.38719795427028,None,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
"Taking your friend 
to the spa",0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,116.55707631334462,None,$0,6.893,0.02870447173700086,None,None,116.55707631334462,None,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
Studying for a test alone,0,4,4,99,,,,,,,,,,,,,,,,,,,,,,,,,123.5088463441632,None,$.04,7.964,0.029894724663336092,None,None,123.5088463441632,None,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
"Going to a comedy show 
with a significant other",0,5,5,56,,,,,,,,,,,,,,,,,,,,,,,,,131.52785338024682,None,$.01,3.401,0.03483239266961391,None,None,131.52785338024682,None,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
Posting Instagram stories,0,6,6,33,,,,,,,,,,,,,,,,,,,,,,,,,134.9955366292795,None,$0,2.696,0.033180283041929215,None,None,134.9955366292795,None,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
"Trying out a new 
recipe at home",0,7,7,68,,,,,,,,,,,,,,,,,,,,,,,,,137.74651966871966,None,$.02,3.807,0.03202019853301863,None,None,137.74651966871966,None,,,,,,,008,001,2020_Jan_09_1350,choiceText,3.1.2,59.98002085584134,
