choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,10.258664350201798,None,space,29.707277892439834,10.258664350201798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
,,,,,,,,,,,,,39.98414583776548,None,space,1.565800293850316,39.98414583776548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
,,,,,,,,,,,,,,,,,,,41.567917084986675,41.567917084986675,space,43.94148842202958,41.567917084986675,None,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
,,,,,,,,,,,,,,,,,,,,,,,,,85.53125828086468,85.53125828086468,space,28.16985056188605,85.53125828086468,None,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
"Sleeping over at 
a friend's house",social,1,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,114.63994769914825,None,$.03,15.421,0.8635297974274181,None,None,114.63994769914825,None,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
Having hundreds of friends on Facebook,social Media,2,0,1,1,59,,,,,,,,,,,,,,,,,,,,,,,,,130.11142171480606,None,$0,7.285,0.021617332929963595,None,None,130.11142171480606,None,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
"Going dancing with
a significant other",social,1,0,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,137.4468867681585,None,$.05,4.307,0.018223500300337037,None,None,137.4468867681585,None,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
"Watching YouTube
videos",nonsocial,0,0,3,3,81,,,,,,,,,,,,,,,,,,,,,,,,,141.79828622648893,None,$.03,2.773,0.017864896101400518,None,None,141.79828622648893,None,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
"Learning how to 
perform card tricks",nonsocial,0,0,4,4,103,,,,,,,,,,,,,,,,,,,,,,,,,144.6157408271347,None,$.04,4.854,0.01825024788195151,None,None,144.6157408271347,None,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
Make a post on Twitter,social Media,2,0,5,5,53,,,,,,,,,,,,,,,,,,,,,,,,,149.50187979512611,None,$0,2.411,0.013924293148193101,None,None,149.50187979512611,None,,,,,,,016,001,2020_Feb_14_1012,choiceText,3.1.2,59.969336824954034,
