selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,response2.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,5,5,17,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,86.84702060142536,88.84751947196855,86.84702060142536,88.84751947196855,2,0.2685677656850203,86.84702060142536,88.84751947196855,88.86427890968798,None,90.84817509485265,92.84870444501757,90.84817509485265,91.84845221059686,91.86526638722898,92.84870444501757,92.8656327647227,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,5,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,6,6,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,94.84942942459156,96.85006358733335,94.84942942459156,96.85006358733335,2,0.24204365241666892,94.84942942459156,96.85006358733335,96.86673438533671,None,98.85055748161221,100.85123207650531,98.85055748161221,99.85107128094978,99.86774332301911,100.85123207650531,100.86787394996963,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,7,7,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,102.85188396719059,104.85241922667001,102.85188396719059,104.85241922667001,1,0.2554307377031364,102.85188396719059,104.85241922667001,104.8689901883613,None,106.85302633097217,108.8536611157474,106.85302633097217,107.85323191291081,107.8699512294952,108.8536611157474,108.8703875857127,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,8,8,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,110.85419668624309,112.85491109125451,110.85419668624309,112.85491109125451,1,0.5890003399413217,110.85419668624309,112.85491109125451,112.87147832074743,None,114.85532474326374,116.85600338137192,114.85532474326374,115.85577820539129,115.8722776332761,116.85600338137192,116.87269470646743,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,9,9,22,0,0,0,0,,,,,,,,,,,,,118.85672400671456,120.85705834950386,118.85672400671456,120.85705834950386,2,118.85672400671456,120.85705834950386,120.87374718646697,None,122.85772112576797,124.85821688614624,122.85772112576797,123.85802187877016,123.87466779544957,124.85821688614624,124.87482579185598,None,,,,,,,,,,,,,,,,,,,0.29034047914547045,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,9,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,10,10,12,0,0,0,0,,,,,,,,,,,,,126.85902926137032,128.85952813191352,126.85902926137032,128.85952813191352,2,126.85902926137032,128.85952813191352,128.87613454949133,None,130.8601647827877,132.86092957248002,130.8601647827877,131.86041017484422,131.8770669771029,132.86092957248002,132.87751017568417,None,,,,,,,,,,,,,,,,,,,0.2719108825622243,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,11,11,20,0,0,0,0,,,,,,,,,,,,,134.86128039914638,136.86201035498516,134.86128039914638,136.86201035498516,1,134.86128039914638,136.86201035498516,136.8785163142179,None,138.86249243063503,140.86308802732492,138.86249243063503,139.86286596150921,139.87971497199487,140.86308802732492,140.87988478703028,None,,,,,,,,,,,,,,,,,,,0.9656379586986077,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,11,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,12,12,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,142.863702907041,144.8641380191916,142.863702907041,144.8641380191916,2,1.2429841664584274,142.863702907041,144.8641380191916,144.88090025606016,None,146.86483749540866,148.86568377143658,146.86483749540866,147.86509128491207,147.88179691676896,148.86568377143658,148.88236638806848,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,13,13,24,0,0,0,0,,,,,,,,,,,,,150.86614749710998,152.86674495989928,150.86614749710998,152.86674495989928,2,150.86614749710998,152.86674495989928,152.88324594286723,None,154.8672469406083,156.8680045769197,154.8672469406083,155.86764130959136,155.8841118129376,156.8680045769197,156.8844324709985,None,,,,,,,,,,,,,,,,,,,0.38444226801993864,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,13,13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,14,14,14,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,158.8684794991891,160.86917306609166,158.8684794991891,160.86917306609166,2,0.317979275723701,158.8684794991891,160.86917306609166,160.8856746710926,None,162.86963585871536,164.87047498136235,162.86963585871536,163.86985605843165,163.88653463184846,164.87047498136235,164.88684347128083,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
