choices,,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,14.59344039,None,space,11.21114202,14.59344039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
,,,,,,,,,,,,25.82994184,None,space,16.55835793,25.82994184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
,,,,,,,,,,,,,,,,,,42.41817207,42.41817207,space,4.578070528,42.41817207,None,,,,,,,,,,,,,,,,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
,,,,,,,,,,,,,,,,,,,,,,,,47.01957575,47.01957575,space,14.8085118,47.01957575,None,,,,,,,,,,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Driving to school
by yourself",NS,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,62.92399789,None,$0.03 ,11.514,0.964941484,None,None,62.92399789,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
Viedochatting your friend over Snapchat,SM,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,74.49568728,None,$0.01 ,7.234,0.039839478,None,None,74.49568728,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Celebrating holidays 
with family",S,0,2,2,37,,,,,,,,,,,,,,,,,,,,,,,,,81.79627793,None,$0.05 ,4.74,0.037473567,None,None,81.79627793,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
Listening to a podcast,NS,0,3,3,102,,,,,,,,,,,,,,,,,,,,,,,,,86.59767769,None,$0.01 ,6.39,0.033569676,None,None,86.59767769,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Going to the beach 
alone",NS,0,4,4,80,,,,,,,,,,,,,,,,,,,,,,,,,93.03440942,None,$0 ,2.732,0.030218151,None,None,93.03440942,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
Running a marathon,NS,0,5,5,93,,,,,,,,,,,,,,,,,,,,,,,,,95.83380437,None,$0 ,2.277,0.033595801,None,None,95.83380437,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Buying coffee on 
the way to work",NS,0,6,6,63,,,,,,,,,,,,,,,,,,,,,,,,,98.16784402,None,$0.01 ,3.46,0.03111948,None,None,98.16784402,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Learning to drive 
with a family member",S,0,7,7,46,,,,,,,,,,,,,,,,,,,,,,,,,101.6855852,None,$0.01 ,3.084,0.036332444,None,None,101.6855852,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Playing a videogame 
at home",NS,0,8,8,98,,,,,,,,,,,,,,,,,,,,,,,,,104.8365071,None,$0.01 ,2.998,0.030790423,None,None,104.8365071,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Taking your friend 
on a cruise",S,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,107.8877102,None,$0.03 ,4.836,0.03600401,None,None,107.8877102,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Going to a bar 
with friends",S,0,10,10,35,,,,,,,,,,,,,,,,,,,,,,,,,112.7888956,None,$0.04 ,2.526,0.031321641,None,None,112.7888956,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
"Taking an online
class",NS,0,11,11,86,,,,,,,,,,,,,,,,,,,,,,,,,115.3564721,None,$0.01 ,2.774,0.021514326,None,None,115.3564721,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
Having hundreds of friends on Facebook,SM,0,12,12,59,,,,,,,,,,,,,,,,,,,,,,,,,118.2072027,None,$0 ,5.248,0.038688402,None,None,118.2072027,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
Drawing a picture,NS,0,13,13,70,,,,,,,,,,,,,,,,,,,,,,,,,123.4928981,None,$0 ,1.464,0.025027579,None,None,123.4928981,None,,,,,,,3,1,2020_Jan_07_1238,choiceText,3.1.2,59.98662301
