selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,response3.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.279553181186202,None,space,20.509678368457116,8.279553181186202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
2,0,0,0,1,,,,,0,0,0,0,,,,,,,28.817773538276697,None,34.8691883059023,36.87017360632717,34.8691883059023,36.87017360632717,None,34.8691883059023,36.87017360632717,36.87017360632717,None,38.904024336422935,40.87135982344216,38.904024336422935,39.87104445266209,39.88774044300567,40.87135982344216,40.888024090097815,None,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
2,0,1,1,10,,,,,0,0,0,0,,,,,,,,,42.87338920641946,44.87254541852417,42.87338920641946,44.87254541852417,None,42.87338920641946,44.87254541852417,44.88921559449409,None,46.87311613389011,48.873730702589455,46.87311613389011,47.873427150438374,47.89009017302783,48.873730702589455,48.89040056754288,None,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
2,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
1,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.87622878750517,52.874912254456376,50.87622878750517,52.874912254456376,2,0.336656130462643,50.87622878750517,52.874912254456376,52.89158522957541,None,54.908798129422166,56.87614045880537,54.908798129422166,55.87570659072048,55.892346598085396,56.87614045880537,56.8927680255083,None,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
1,0,3,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.893325056146296,60.876786129159655,58.893325056146296,60.876786129159655,1,0.7273930624025979,58.893325056146296,60.876786129159655,60.89347527713903,None,62.89445311316672,64.8785004523736,62.89445311316672,63.877918851428376,63.89483846267012,64.8785004523736,64.89515756564856,None,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
1,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
2,0,4,4,17,,,,,0,0,0,0,,,,,,,,,66.89572237170023,68.87969040168718,66.89572237170023,68.87969040168718,2,66.89572237170023,68.87969040168718,68.89634253869735,None,70.91349292421796,72.88088501624907,70.91349292421796,71.88056840140302,71.89723764432324,72.88088501624907,72.89754772782203,None,,,,,,,,,,,,,,,,,,,1.3008298232525703,,,,,,,007,001,2020_Jan_08_2003,Experiment1,3.1.2,59.91035609737245,
