choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,14.593440391782678,None,space,11.211142015884889,14.593440391782678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
,,,,,,,,,,,25.82994184283507,None,space,16.55835792704329,25.82994184283507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
,,,,,,,,,,,,,,,,,42.41817206919677,42.41817206919677,space,4.578070528197713,42.41817206919677,None,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
,,,,,,,,,,,,,,,,,,,,,,,47.01957575344795,47.01957575344795,space,14.808511802958947,47.01957575344795,None,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Driving to school
by yourself",0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,62.92399789378942,None,$.03,11.514,0.9649414836094365,None,None,62.92399789378942,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Viedochatting your friend over Snapchat,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,74.49568727562064,None,$.01,7.234,0.03983947763981632,None,None,74.49568727562064,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Celebrating holidays 
with family",0,2,2,37,,,,,,,,,,,,,,,,,,,,,,,,,81.79627792898418,None,$.05,4.74,0.03747356739904717,None,None,81.79627792898418,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Listening to a podcast,0,3,3,102,,,,,,,,,,,,,,,,,,,,,,,,,86.59767769441487,None,$.01,6.39,0.03356967554373114,None,None,86.59767769441487,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Going to the beach 
alone",0,4,4,80,,,,,,,,,,,,,,,,,,,,,,,,,93.03440942283578,None,$0,2.732,0.03021815079591761,None,None,93.03440942283578,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Running a marathon,0,5,5,93,,,,,,,,,,,,,,,,,,,,,,,,,95.83380436936068,None,$0,2.277,0.03359580101459869,None,None,95.83380436936068,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Buying coffee on 
the way to work",0,6,6,63,,,,,,,,,,,,,,,,,,,,,,,,,98.16784402347184,None,$.01,3.46,0.031119479555400176,None,None,98.16784402347184,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Learning to drive 
with a family member",0,7,7,46,,,,,,,,,,,,,,,,,,,,,,,,,101.68558524010405,None,$.01,3.084,0.03633244413413195,None,None,101.68558524010405,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Playing a videogame 
at home",0,8,8,98,,,,,,,,,,,,,,,,,,,,,,,,,104.83650711157134,None,$.01,2.998,0.030790423024427582,None,None,104.83650711157134,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Taking your friend 
on a cruise",0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,107.88771023617755,None,$.03,4.836,0.03600400963796346,None,None,107.88771023617755,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Going to a bar 
with friends",0,10,10,35,,,,,,,,,,,,,,,,,,,,,,,,,112.78889561723463,None,$.04,2.526,0.03132164094085965,None,None,112.78889561723463,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Taking an online
class",0,11,11,86,,,,,,,,,,,,,,,,,,,,,,,,,115.3564721034395,None,$.01,2.774,0.02151432562232003,None,None,115.3564721034395,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Having hundreds of friends on Facebook,0,12,12,59,,,,,,,,,,,,,,,,,,,,,,,,,118.207202668033,None,$0,5.248,0.038688401814852114,None,None,118.207202668033,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Drawing a picture,0,13,13,70,,,,,,,,,,,,,,,,,,,,,,,,,123.49289807054083,None,$0,1.464,0.02502757947831924,None,None,123.49289807054083,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Going to a comedy show 
with a significant other",0,14,14,56,,,,,,,,,,,,,,,,,,,,,,,,,125.02591211329263,None,$.04,3.592,0.03453071966623611,None,None,125.02591211329263,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Studying for a test alone,0,15,15,99,,,,,,,,,,,,,,,,,,,,,,,,,128.67700115667412,None,$0,2.58,0.02508573975364925,None,None,128.67700115667412,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Viewing videos and photos on Instagram's Explore page,0,16,16,39,,,,,,,,,,,,,,,,,,,,,,,,,131.3278202368524,None,$0,3.358,0.04489289023285892,None,None,131.3278202368524,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Going out to dinner with friends,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,,,,134.74546824153504,None,$.02,2.741,0.03465077242753978,None,None,134.74546824153504,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Listening to music
by yourself",0,18,18,82,,,,,,,,,,,,,,,,,,,,,,,,,137.54656009962537,None,$.04,2.368,0.03351431442570174,None,None,137.54656009962537,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Looking at your friend's Snapchat stories,0,19,19,4,,,,,,,,,,,,,,,,,,,,,,,,,139.98042331350007,None,$0,2.56,0.028836922008849797,None,None,139.98042331350007,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Getting verified on 
Instagram",0,20,20,47,,,,,,,,,,,,,,,,,,,,,,,,,142.5978145421218,None,$0,1.341,0.030828367161120696,None,None,142.5978145421218,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Going for a walk 
in the park",0,21,21,64,,,,,,,,,,,,,,,,,,,,,,,,,143.99847974638396,None,$.01,2.888,0.029436874796374468,None,None,143.99847974638396,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Having a celebrity comment on your Facebook post,0,22,22,57,,,,,,,,,,,,,,,,,,,,,,,,,146.94935359674673,None,$0,1.95,0.03870426370804125,None,None,146.94935359674673,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
"Getting drinks 
with co-workers",0,23,23,44,,,,,,,,,,,,,,,,,,,,,,,,,148.96644276515735,None,$.01,2.573,0.03546812645845421,None,None,148.96644276515735,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
Taking classes with a friend,0,24,24,25,,,,,,,,,,,,,,,,,,,,,,,,,151.60054807506594,None,$.01,1.904,0.0377646797937814,None,None,151.60054807506594,None,,,,,,,003,001,2020_Jan_07_1238,choiceText,3.1.2,59.98662300952894,
