choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,10.851432357012527,None,space,1.0443470330210403,10.851432357012527,None,,,,,,,,,,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to an amusement 
park with a friend",0,0,0,27,,,,,,,12.053120960015804,None,$1.00,4.299,0.09071900500566699,None,None,12.053120960015804,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going on a first date 
to the movies",0,1,1,20,,,,,,,16.419149726018077,None,$0.40,2.352,0.055653743009315804,None,None,16.419149726018077,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Talking over the phone
with a friend",0,2,2,32,,,,,,,18.834118738013785,None,$0.60,0.552,0.04558342500240542,None,None,18.834118738013785,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Taking your friend 
to the spa",0,3,3,1,,,,,,,19.468468978011515,None,$0.80,0.422,0.05693356698611751,None,None,19.468468978011515,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Getting likes on an
Instagram picture",0,4,4,17,,,,,,,19.966114390001167,None,$0.40,0.784,0.043648346996633336,None,None,19.966114390001167,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Getting drinks 
with co-workers",0,5,5,44,,,,,,,20.80278041100246,None,$0,0.933,0.04473615900496952,None,None,20.80278041100246,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Celebrating holidays 
with family",0,6,6,37,,,,,,,21.81929716601735,None,$0.20,0.434,0.045898789016064256,None,None,21.81929716601735,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Learning to drive 
with a family member",0,7,7,46,,,,,,,22.317623635026393,None,$0.40,0.479,0.04706146600074135,None,None,22.317623635026393,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Getting ice cream
with friends",0,8,8,49,,,,,,,22.85056344800978,None,$0.60,0.422,0.04269300602027215,None,None,22.85056344800978,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
