selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,response3.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,19.5482958883797,None,space,3.2037948491145016,19.5482958883797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,0,0,19,0,0,0,0,,,,,,,,,,,22.776785839248078,None,28.881570439402594,30.879474181347405,28.881570439402594,30.879474181347405,1,1.6543992027998229,28.881570439402594,30.879474181347405,30.896216254210913,None,32.88002001708742,34.88050955865697,32.88002001708742,33.8802392844359,33.89708492613181,34.88050955865697,34.89717574324641,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,36.88132473556516,38.881908826459494,36.88132473556516,38.881908826459494,2,0.942666098126665,36.88132473556516,38.881908826459494,38.89861886451854,None,40.89917651892415,42.88310655491182,40.89917651892415,41.915923879085085,41.915923879085085,42.88310655491182,42.89981068363841,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,2,2,6,0,0,0,0,,,,,,,,,,,,,44.88564445783891,46.88398922262104,44.88564445783891,46.88398922262104,1,0.7942992355499428,44.88564445783891,46.88398922262104,46.900976377286725,None,48.884986966811084,50.88556141616232,48.884986966811084,49.885032686385784,49.90189294590505,50.88556141616232,50.902122476831664,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,3,3,4,0,0,0,0,,,,,,,,,,,,,52.885944900759114,54.88671777928516,52.885944900759114,54.88671777928516,2,1.633994276655585,52.885944900759114,54.88671777928516,54.90335908247357,None,56.90375034250815,58.88793043657847,56.90375034250815,57.887517094300165,57.904184522959895,58.88793043657847,58.90475150789075,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,4,4,13,0,0,0,0,,,,,,,,,,,,,60.89029292562668,62.88912847604843,60.89029292562668,62.88912847604843,2,1.1974034391694204,60.89029292562668,62.88912847604843,62.905806790321094,None,64.88962672610842,66.89019122289915,64.88962672610842,65.8897924984442,65.90641856177422,66.89019122289915,66.90695724411125,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,5,5,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,68.89092024795559,70.89154041688175,68.89092024795559,70.89154041688175,None,68.89092024795559,70.89154041688175,70.90821375487417,None,72.89356638497816,74.8926078289951,72.89356638497816,73.89245232023745,73.90892536294973,74.8926078289951,74.9093306187724,None,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,6,6,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,76.89305071793729,78.893911303403,76.89305071793729,78.893911303403,1,76.89305071793729,78.893911303403,78.91043784112799,None,80.91116779923709,82.89499955369001,80.91116779923709,81.89481605335573,81.9115282685375,82.89499955369001,82.91152702446743,None,1.0343895177145441,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,7,7,12,0,0,0,0,,,,,,,,,,,,,84.89563558450936,86.89619572705487,84.89563558450936,86.89619572705487,1,0.9516607246769127,84.89563558450936,86.89619572705487,86.9128298768403,None,88.89666163129323,90.8975393227222,88.89666163129323,89.8969188427784,89.91365842750179,90.8975393227222,90.91421639292457,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,8,8,21,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,92.898144873825,94.89874607068259,92.898144873825,94.89874607068259,2,92.898144873825,94.89874607068259,94.91540541288668,None,96.89905615514544,98.89970058343783,96.89905615514544,97.89943932872461,97.91608871836843,98.89970058343783,98.91632851287295,None,1.301022345675392,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,8,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,9,9,16,0,0,0,0,,,,,,,,,,,,,100.90115894456835,102.90113655130722,100.90115894456835,102.90113655130722,2,1.2019750856309201,100.90115894456835,102.90113655130722,102.91779185028372,None,104.91819399593123,106.90207675725674,104.91819399593123,105.90187335180167,105.91839429121137,106.90207675725674,106.91870904093707,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,9,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,10,10,23,0,0,0,0,,,,,,,,,,,,,108.90262756927677,110.90354600400042,108.90262756927677,110.90354600400042,1,1.0964966053993521,108.90262756927677,110.90354600400042,110.92019850381917,None,112.90462896698955,114.90467686368697,112.90462896698955,113.90437051143408,113.92111351735002,114.90467686368697,114.92113653264619,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,10,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,11,11,20,0,0,0,0,,,,,,,,,,,,,116.9050827415449,118.90594208294033,116.9050827415449,118.90594208294033,2,1.0059873981922465,116.9050827415449,118.90594208294033,118.92261697602021,None,120.90637533033942,122.90697652719723,120.90637533033942,121.90676627935659,121.92349124625662,122.90697652719723,122.9237916891766,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,11,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,12,12,5,0,0,0,0,,,,,,,,,,,,,124.9076766276246,126.90803740794286,124.9076766276246,126.90803740794286,2,1.2513472501232172,124.9076766276246,126.90803740794286,126.92471789933802,None,128.90876083468402,130.90940650704624,128.90876083468402,129.90907527339232,129.9257268401584,130.90940650704624,130.92601390932532,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,13,13,11,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,132.90989076131814,134.91067234833463,132.90989076131814,134.91067234833463,1,132.90989076131814,134.91067234833463,134.92730836422515,None,136.91110590675135,138.91183990808804,136.91110590675135,137.9116430340007,137.92831388385298,138.91183990808804,138.9283061084152,None,1.9049906803600152,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,14,14,18,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,140.9123117216593,142.91299564917608,140.9123117216593,142.91299564917608,1,140.9123117216593,142.91299564917608,142.92982262982105,None,144.91358844856063,146.91418746829572,144.91358844856063,145.91392496951266,145.93062038974858,146.91418746829572,146.93076719001579,None,0.9584667209703639,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,14,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,15,15,22,0,0,0,0,,,,,,,,,,,,,148.9146916276884,150.91549498593122,148.9146916276884,150.91549498593122,1,0.7800477909513575,148.9146916276884,150.91549498593122,150.9319621193108,None,152.93263764935455,154.9168500892465,152.93263764935455,153.91630705266425,153.93309671120755,154.9168500892465,154.93345033812284,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,15,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,16,16,2,0,0,0,0,,,,,,,,,,,,,156.91742609368544,158.91796104381206,156.91742609368544,158.91796104381206,1,1.6890509082800236,156.91742609368544,158.91796104381206,158.93462380720894,None,160.93518457178948,162.91917494517543,160.93518457178948,161.9185986297191,161.9354812824995,162.91917494517543,162.93582495685405,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,17,17,24,0,0,0,0,,,,,,,,,,,,,164.919593263734,166.92032726507068,164.919593263734,166.92032726507068,2,0.9669403931823126,164.919593263734,166.92032726507068,166.9369116520536,None,168.9373473875928,170.92156791394018,168.9373473875928,169.92106904184539,169.93780955962097,170.92156791394018,170.93815478906322,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,17,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,18,18,7,0,0,0,0,,,,,,,,,,,,,172.9233758587584,174.92277124070802,172.9233758587584,174.92277124070802,2,1.09110480574941,172.9233758587584,174.92277124070802,174.93942342950936,None,176.92323341273618,178.92378826798404,176.92323341273618,177.92350959628993,177.94032009300668,178.92378826798404,178.9404827551673,None,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
1,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,19,19,15,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180.92430269095462,182.92495582773745,180.92430269095462,182.92495582773745,None,180.92430269095462,182.92495582773745,182.94150289261847,None,184.95893573538387,186.9263059547725,184.95893573538387,185.92606989247815,185.94273701012025,186.9263059547725,186.94302003605935,None,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,19,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,20,20,14,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,188.92804392064954,190.9274812899639,188.92804392064954,190.9274812899639,None,188.92804392064954,190.9274812899639,190.94418541869027,None,192.92820191754754,194.92882923987645,192.92820191754754,193.92817050477834,193.94489329455564,194.92882923987645,194.9454400633481,None,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,20,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,21,21,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,196.9304169842933,198.9298848333242,196.9304169842933,198.9298848333242,1,196.9304169842933,198.9298848333242,198.9466412129932,None,200.93061385838064,202.93089843940743,200.93061385838064,201.93086484951573,201.94754254175336,202.93089843940743,202.9475310341054,None,1.2435189392560915,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,21,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,22,22,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,204.93282301579393,206.9322550978104,204.93282301579393,206.9322550978104,None,204.93282301579393,206.9322550978104,206.94904009109086,None,208.96627046145363,210.93356417053337,208.96627046145363,209.93327927848918,209.94993830967587,210.93356417053337,210.95022226866763,None,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,22,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,23,23,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,212.93451246293853,214.93476189898593,212.93451246293853,214.93476189898593,2,212.93451246293853,214.93476189898593,214.95139013943844,None,216.93522687017162,218.93576990675388,216.93522687017162,217.9356713142015,217.95234900643914,218.93576990675388,218.95248647618087,None,0.34337702196376085,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,23,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,24,24,17,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,220.9364709402339,222.93718161525703,220.9364709402339,222.93718161525703,2,220.9364709402339,222.93718161525703,222.95379710399152,None,224.9544098084973,226.9381264864694,224.9544098084973,225.9379364547674,225.95445646112466,226.9381264864694,226.95473388874848,None,0.5731912854134862,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
2,0,24,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.93897774140942,None,space,13.274563463590539,228.93897774140942,None,005,001,2020_Jan_08_1128,Experiment1,3.1.2,59.95507918479316,
