choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,10.143298210125522,None,space,15.068885403419245,10.143298210125522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
,,,,,,,,,,,25.230714348140282,None,space,1.205350558727332,25.230714348140282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
,,,,,,,,,,,,,,,,,26.46439051608104,26.46439051608104,space,4.2356147401155795,26.46439051608104,None,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
,,,,,,,,,,,,,,,,,,,,,,,30.715667165227842,30.715667165227842,space,27.992056301634875,30.715667165227842,None,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
Reading at the library,0,0,0,78,,,,,,,,,,,,,,,,,,,,,,,,,59.40721305601801,None,$0,14.2,0.5981463978105239,None,None,59.40721305601801,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
"Going for a bicycle
ride alone",0,1,1,95,,,,,,,,,,,,,,,,,,,,,,,,,73.66179862051285,None,$.01,5.951,0.03828625616733916,None,None,73.66179862051285,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
Taking classes with a friend,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,79.68016202768513,None,$.05,3.877,0.031711656905372365,None,None,79.68016202768513,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
Getting 1 million subscribers on Youtube,0,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,83.631148777406,None,$.01,6.459,0.045525499859650154,None,None,83.631148777406,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
Practicing photography,0,4,4,65,,,,,,,,,,,,,,,,,,,,,,,,,90.15004635716105,None,$.05,3.945,0.029063031742680323,None,None,90.15004635716105,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
Taking a nap,0,5,5,74,,,,,,,,,,,,,,,,,,,,,,,,,94.13655130716006,None,$0,2.681,0.03003247333890613,None,None,94.13655130716006,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
Playing with a pet,0,6,6,87,,,,,,,,,,,,,,,,,,,,,,,,,96.86870519987087,None,$0,2.204,0.024715628910144005,None,None,96.86870519987087,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
Doing your laundry,0,7,7,105,,,,,,,,,,,,,,,,,,,,,,,,,99.13597934594918,None,$.02,2.678,0.03173405016650577,None,None,99.13597934594918,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
"Working on a group
project with classmates",0,8,8,42,,,,,,,,,,,,,,,,,,,,,,,,,101.87161725686929,None,$.02,5.167,0.03732210186899465,None,None,101.87161725686929,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
"Trying to solve a 
Rubik’s cube",0,9,9,73,,,,,,,,,,,,,,,,,,,,,,,,,107.10493233347461,None,$0,2.485,0.03660209632016631,None,None,107.10493233347461,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
"Getting a slice of pizza 
by yourself",0,10,10,72,,,,,,,,,,,,,,,,,,,,,,,,,109.6556283440218,None,$.01,2.188,0.03772486955131171,None,None,109.6556283440218,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
"Getting ice cream
with friends",0,11,11,49,,,,,,,,,,,,,,,,,,,,,,,,,111.90656940526924,None,$.01,3.403,0.03819326193024608,None,None,111.90656940526924,None,,,,,,,004,001,2020_Jan_07_1250,choiceText,3.1.2,60.1234724884898,
