choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"Walking around Central 
Park with family",social,1,0,56,56,13,,,,,,,,,,,,,,,,,,,,,,,,,269.5755540025557,None,$.04,2.114,0.03705832425976041,None,None,269.5755540025557,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Having hundreds of friends on Facebook,social Media,2,0,57,57,59,,,,,,,,,,,,,,,,,,,,,,,,,271.7575619315621,None,$0,2.607,0.030223778124764067,None,None,271.7575619315621,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Having a celebrity comment on your Facebook post,social Media,2,0,58,58,57,,,,,,,,,,,,,,,,,,,,,,,,,274.42497565533085,None,$0,2.319,0.03351524578056342,None,None,274.42497565533085,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Looking through old 
photo albums",nonsocial,0,0,59,59,106,,,,,,,,,,,,,,,,,,,,,,,,,276.8092370096192,None,$.03,3.187,0.036467707508109015,None,None,276.8092370096192,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Getting breakfast
by yourself",nonsocial,0,0,60,60,84,,,,,,,,,,,,,,,,,,,,,,,,,280.0600056044832,None,$.03,2.379,0.02865097722315113,None,None,280.0600056044832,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Writing journal entries,nonsocial,0,0,61,61,107,,,,,,,,,,,,,,,,,,,,,,,,,282.47733527655237,None,$.01,2.017,0.027093105023595854,None,None,282.47733527655237,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Running a marathon,nonsocial,0,0,62,62,93,,,,,,,,,,,,,,,,,,,,,,,,,284.54579394721986,None,$.03,1.982,0.027436154142833402,None,None,284.54579394721986,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Getting a haircut,nonsocial,0,0,63,63,91,,,,,,,,,,,,,,,,,,,,,,,,,286.57868560870065,None,$.03,2.287,0.022836870035916945,None,None,286.57868560870065,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Playing a videogame 
at home",nonsocial,0,0,64,64,98,,,,,,,,,,,,,,,,,,,,,,,,,288.9292650133748,None,$.01,3.79,0.03655043739536268,None,None,288.9292650133748,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Buying clothes 
for yourself",nonsocial,0,0,65,65,85,,,,,,,,,,,,,,,,,,,,,,,,,292.780551198759,None,$.04,2.393,0.03182332628239237,None,None,292.780551198759,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
