selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,response3.rt,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,5,5,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7602819568283,89.76083277039015,87.7602819568283,89.76083277039015,1,0.4800369738659356,87.7602819568283,89.76083277039015,89.77760474788238,None,91.76152074306037,93.76223484127513,91.76152074306037,92.76197109768373,92.7785626845116,93.76223484127513,93.77890822593872,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,5,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,6,6,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.76278005650602,97.76336850329244,95.76278005650602,97.76336850329244,2,0.7495188545567544,95.76278005650602,97.76336850329244,97.77998590464676,None,99.76454135362656,101.7644567566258,99.76454135362656,100.76426330318964,100.78092953443047,101.7644567566258,101.78117866015782,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,7,7,1,,,,,0,0,0,0,,,,,,,,,103.76519013798043,105.7656840351774,103.76519013798043,105.7656840351774,1,103.76519013798043,105.7656840351774,105.78231201115705,None,107.7829990507721,109.76694054945756,107.7829990507721,108.76660993691303,108.7832519087201,109.76694054945756,109.78357754497029,None,0.3628974970483796,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,8,8,21,,,,,0,0,0,0,,,,,,,,,111.76766677738942,113.76829658962151,111.76766677738942,113.76829658962151,2,111.76766677738942,113.76829658962151,113.78486951534614,None,115.76879235292881,117.76931393076256,115.76879235292881,116.76903743541698,116.78567660805857,117.76931393076256,117.78597860691161,None,1.2324041348024366,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,8,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,9,9,18,,,,,0,0,0,0,,,,,,,,,119.7700065687086,121.77057884253918,119.7700065687086,121.77057884253918,2,119.7700065687086,121.77057884253918,121.78730976560428,None,123.77116324608642,125.77188698587133,123.77116324608642,124.77145000503879,124.78821265197939,125.77188698587133,125.78838340107313,None,0.5179099937672618,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,9,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,10,10,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.77308844989693,129.77294475940244,127.77308844989693,129.77294475940244,None,,127.77308844989693,129.77294475940244,129.78964551368426,None,131.77376833608923,133.77430515382366,131.77376833608923,132.7738908773331,132.79063206400497,133.77430515382366,133.79082334031273,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,11,11,3,,,,,0,0,0,0,,,,,,,,,135.77481086971966,137.77536541550216,135.77481086971966,137.77536541550216,2,135.77481086971966,137.77536541550216,137.79211935392777,None,139.77602384142529,141.77658243044698,139.77602384142529,140.77631744278187,140.793111813598,141.77658243044698,141.79336280543566,None,0.9370508116958263,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,12,12,11,,,,,0,0,0,0,,,,,,,,,143.77722530545134,145.77788217628267,143.77722530545134,145.77788217628267,1,143.77722530545134,145.77788217628267,145.79467001571265,None,147.77853593693044,149.77897385081815,147.77853593693044,148.7787959483012,148.79550043480367,149.77897385081815,149.79569326620322,None,0.59857230120042,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,13,13,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.7796167258225,153.78064215344148,151.7796167258225,153.78064215344148,1,0.45197876117663327,151.7796167258225,153.78064215344148,153.79705521571623,None,155.78091460554788,157.7814629309628,155.78091460554788,156.78123806466965,156.7979245121055,157.7814629309628,157.79840348042035,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,14,14,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.78315082774452,161.78286500184777,159.78315082774452,161.78286500184777,2,0.4965396094357857,159.78315082774452,161.78286500184777,161.79954180771347,None,163.7833427260889,165.78387674465785,163.7833427260889,164.78356230506915,164.80025186268904,165.78387674465785,165.8005488852482,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,15,15,15,,,,,0,0,0,0,,,,,,,,,167.7844826084738,169.78514974291238,167.7844826084738,169.78514974291238,1,167.7844826084738,169.78514974291238,169.80189186263942,None,171.7857073988789,173.78636862396752,171.7857073988789,172.7860019332902,172.80267500693571,173.78636862396752,173.80318258894204,None,0.5269634279698039,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,16,16,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.78698444037218,177.7877103572855,175.78698444037218,177.7877103572855,2,0.4683902683591441,175.78698444037218,177.7877103572855,177.8042241895173,None,179.78822384864134,181.78878585886514,179.78822384864134,180.7884188571693,180.80518554734908,181.78878585886514,181.80549967591878,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,16,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,17,17,17,,,,,0,0,0,0,,,,,,,,,183.78936186491592,185.79001189334303,183.78936186491592,185.79001189334303,1,183.78936186491592,185.79001189334303,185.806667549959,None,187.79064885899788,189.79139125988604,187.79064885899788,188.79094712563028,188.80759345169463,189.79139125988604,189.80788923017963,None,1.2179442679935164,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
