selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,9.71896581699798,None,space,19.201673398640878,9.71896581699798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,0,0,18,,,,,0,0,0,0,,,,,,,28.93863624417736,None,35.02498683618364,37.02459744225416,35.02498683618364,37.02459744225416,1,0.967576424001436,35.02498683618364,37.02459744225416,37.04124309968779,None,39.05861591607254,41.02568164931358,39.05861591607254,40.02554075837884,40.04207755968196,41.02568164931358,41.04217210900674,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,1,1,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.02726006320495,45.0269938322117,43.02726006320495,45.0269938322117,1,0.6930773410367692,43.02726006320495,45.0269938322117,45.04354742846067,None,47.02929784996718,49.02799841878709,47.02929784996718,48.027560195107526,48.04418812454264,49.02799841878709,49.044765995086664,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,2,2,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.04535879447121,53.029328951718526,51.04535879447121,53.029328951718526,2,0.5149016267148454,51.04535879447121,53.029328951718526,53.04603090332239,None,55.04656647548427,57.030604123532385,55.04656647548427,56.02990402310502,56.04656212123905,57.030604123532385,57.04727248524455,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,3,3,1,,,,,0,0,0,0,,,,,,,,,59.04784226933316,61.03179158840703,59.04784226933316,61.03179158840703,2,0.5124066442049298,59.04784226933316,61.03179158840703,61.04842915938502,None,63.049024135892296,65.03277502579112,63.049024135892296,64.03272464095357,64.04922847440002,65.03277502579112,65.04929596520083,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,4,4,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.03465077242754,69.03421099366051,67.03465077242754,69.03421099366051,2,1.8614183704983134,67.03465077242754,69.03421099366051,69.0507692551721,None,71.03622700919664,73.0354631501782,71.03622700919664,72.03488341352931,72.05163823811063,73.0354631501782,73.05209045757829,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,4,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,5,5,14,,,,,0,0,0,0,,,,,,,,,75.03804926082034,77.03639060440969,75.03804926082034,77.03639060440969,1,0.41793973911239846,75.03804926082034,77.03639060440969,77.05301542366965,None,79.053742582621,81.03780293494788,79.053742582621,80.03748974030987,80.0541798732479,81.03780293494788,81.05438856600085,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,6,6,10,,,,,0,0,0,0,,,,,,,,,83.03832637742676,85.03901621427622,83.03832637742676,85.03901621427622,2,1.2175029461134272,83.03832637742676,85.03901621427622,85.0556652929024,None,87.05595671631454,89.03988924044233,87.05595671631454,88.03977416396174,88.05661762853515,89.03988924044233,89.05671715413996,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,7,7,3,,,,,0,0,0,0,,,,,,,,,91.04072929875201,93.04139860844543,91.04072929875201,93.04139860844543,2,0.7831408601437033,91.04072929875201,93.04139860844543,93.05806230489497,None,95.0585160794501,97.04261157675614,95.0585160794501,96.04231299994126,96.05890516236218,97.04261157675614,97.05909550508159,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,8,8,8,,,,,0,0,0,0,,,,,,,,,99.04288776031012,101.04377105005437,99.04288776031012,101.04377105005437,2,0.5566759443190676,99.04288776031012,101.04377105005437,101.06049104067392,None,103.0607554055623,105.04496940054173,103.0607554055623,104.04470161446079,104.06138428297868,105.04496940054173,105.06168285979356,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,9,9,21,,,,,0,0,0,0,,,,,,,,,107.0464206082695,109.04621253755158,107.0464206082695,109.04621253755158,1,0.7374813117351096,107.0464206082695,109.04621253755158,109.062905780665,None,111.06325038807222,113.04711355529412,111.06325038807222,112.04710577985634,112.06376978732305,113.04711355529412,113.06380928654767,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,9,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,10,10,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.04898805786047,117.04856009775904,115.04898805786047,117.04856009775904,1,0.9985770948662775,115.04898805786047,117.04856009775904,117.0652878638166,None,119.06580601899759,121.04974320838824,119.06580601899759,120.0494614265192,120.06619199173451,121.04974320838824,121.06649336770715,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,10,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,11,11,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.05021626602957,125.05101153781675,123.05021626602957,125.05101153781675,2,0.8291947787624849,123.05021626602957,125.05101153781675,125.06767958851151,None,127.05111199647445,129.05220397897165,127.05111199647445,128.05185408426655,128.06841265679554,129.05220397897165,129.068880427139,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,12,12,9,,,,,0,0,0,0,,,,,,,,,131.06946482905073,133.0534141481246,131.06946482905073,133.0534141481246,1,1.04186140250863,131.06946482905073,133.0534141481246,133.07006913608348,None,135.07056520902097,137.05461312064722,135.07056520902097,136.05420599871923,136.07100249964788,137.05461312064722,137.07130636376064,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,13,13,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.05482989985558,141.05582422285283,139.05482989985558,141.05582422285283,2,0.6963980750504106,139.05482989985558,141.05582422285283,141.07254079227982,None,143.07291494635115,145.0567712711877,143.07291494635115,144.05667921000304,144.07341319641114,145.0567712711877,145.07358985435985,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,14,14,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.05942082940282,149.05814721267666,147.05942082940282,149.05814721267666,1,0.89975221234522,147.05942082940282,149.05814721267666,149.07484356596524,None,151.05886193092738,153.05921369173757,151.05886193092738,152.0587197959228,152.07563479452483,153.05921369173757,153.07593772558494,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,14,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,15,15,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.05981053434994,157.06061016038257,155.05981053434994,157.06061016038257,1,0.7232827401142004,155.05981053434994,157.06061016038257,157.0773139780913,None,159.06093455165114,161.06183836855143,159.06093455165114,160.0614240932207,160.0782255704296,161.06183836855143,161.0784911793878,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,15,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,16,16,11,,,,,0,0,0,0,,,,,,,,,163.06235714576746,165.06307124198315,163.06235714576746,165.06307124198315,2,0.5845966087272245,163.06235714576746,165.06307124198315,165.07955579234363,None,167.06365408880743,169.0638279475986,167.06365408880743,168.06351226482025,168.08017969347975,169.0638279475986,169.08045058973585,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,16,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,17,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.06482817992855,173.065421912366,171.06482817992855,173.065421912366,2,0.9179893464061024,171.06482817992855,173.065421912366,173.08205357401107,None,175.06622402653852,177.0664986550048,175.06622402653852,176.06632510723102,176.08304043258818,177.0664986550048,177.08316204043672,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,18,18,17,,,,,0,0,0,0,,,,,,,,,179.0682926040347,181.0676870529319,179.0682926040347,181.0676870529319,1,0.6183454303595681,179.0682926040347,181.0676870529319,181.08422198812968,None,183.0849615877819,185.06903531386183,183.0849615877819,184.0687553980979,184.08540789791664,185.06903531386183,185.08570958490668,None,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
2,0,18,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,19,19,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0693827204268,189.07024081775216,187.0693827204268,189.07024081775216,1,0.7212088753201442,187.0693827204268,189.07024081775216,189.08689767181613,None,191.07049025379956,193.07138256305188,191.07049025379956,192.0709698428086,192.08780957517183,193.07138256305188,193.08792682877538,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,19,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,20,20,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.08869006575856,197.07252337529894,195.08869006575856,197.07252337529894,2,0.5419091436972394,195.08869006575856,197.07252337529894,197.08917649715295,None,199.08962374034013,201.0738063225508,199.08962374034013,200.07355999667834,200.09014531671392,201.0738063225508,201.0901711311676,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,20,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,21,21,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.07516889028648,205.07492878476432,203.07516889028648,205.07492878476432,2,0.6512681894705565,203.07516889028648,205.07492878476432,205.09151877006252,None,207.09228542823848,209.07595514256582,207.09228542823848,208.07572592265683,208.0925087388148,209.07595514256582,209.09280918173476,None,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
1,0,21,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2020_Jan_11_1141,Experiment1,3.1.2,60.00475894541345,
