choices,type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,7.933360454,None,space,2.255169966,7.933360454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
,,,,,,,,,,,,10.21718509,None,space,0.523298789,10.21718509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
,,,,,,,,,,,,,,,,,,10.76747926,10.76747926,space,10.86895837,10.76747926,None,,,,,,,,,,,,,,,,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
,,,,,,,,,,,,,,,,,,,,,,,,21.654114,21.654114,space,30.50177296,21.654114,None,,,,,,,,,,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
"Going to a musicfestival with friends",S,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,53.23000772,None,$0.04 ,8.892,0.972894824,None,None,53.23000772,None,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
"Going on vacation by yourself",NS,0,1,1,94,,,,,,,,,,,,,,,,,,,,,,,,,62.18249295,None,$0 ,5.89,0.032149881,None,None,62.18249295,None,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
"Looking through old photo albums",NS,0,2,2,106,,,,,,,,,,,,,,,,,,,,,,,,,68.13454276,None,$0.02 ,3.41,0.026652024,None,None,68.13454276,None,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
"Going to the beach alone",NS,0,3,3,80,,,,,,,,,,,,,,,,,,,,,,,,,71.58551691,None,$0 ,3.538,0.022850146,None,None,71.58551691,None,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
"Going to a farmer'smarket by yourself",NS,0,4,4,83,,,,,,,,,,,,,,,,,,,,,,,,,75.16970702,None,$0.03 ,4.897,0.024142735,None,None,75.16970702,None,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
Viedochatting your friend over Snapchat,SM,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,80.12114194,None,$0.01 ,6.702,0.020379734,None,None,80.12114194,None,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
"Watching a new episode of a television show",NS,0,6,6,97,,,,,,,,,,,,,,,,,,,,,,,,,86.87320251,None,$0.02 ,5.349,0.021012343,None,None,86.87320251,None,,,,,,,12,1,2020_Jan_11_1158,choiceText,3.1.2,60.07415725
