choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Taking classes with a friend,0,28,28,25,,,,,,,59.661756273999345,None,$0.60,0.655,0.025516700989101082,None,None,59.661756273999345,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
Having a Tweet go viral,0,29,29,15,,,,,,,60.36166769900592,None,$0.60,0.554,0.02565341495210305,None,None,60.36166769900592,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Talking over the phone
with a significant other",0,30,30,7,,,,,,,60.96257441298803,None,$0.60,0.586,0.02702059003058821,None,None,60.96257441298803,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Talking to a friend 
over Skype",0,31,31,12,,,,,,,61.59510785801103,None,$0.60,0.555,0.02609449200099334,None,None,61.59510785801103,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Getting drinks 
with co-workers",0,32,32,44,,,,,,,62.2135373140336,None,$0.60,0.568,0.02588879899121821,None,None,62.2135373140336,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Taking your friend 
to the spa",0,33,33,1,,,,,,,62.83072925003944,None,$0.60,0.573,0.025086935027502477,None,None,62.83072925003944,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Going to a street fair
with friends",0,34,34,40,,,,,,,63.44784746400546,None,$0.60,0.49,0.025360036990605295,None,None,63.44784746400546,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Eating dinner at a 
restaurant with family",0,35,35,39,,,,,,,63.99647684098454,None,$0.60,0.504,0.025725086976308376,None,None,63.99647684098454,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Getting retweeted by 
a celebrity",0,36,36,29,,,,,,,64.54563981102547,None,$0.60,0.456,0.02489611995406449,None,None,64.54563981102547,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Getting a slice of 
pizza with a friend",0,37,37,10,,,,,,,65.04803202999756,None,$0.60,0.519,0.028092441032640636,None,None,65.04803202999756,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
Going on a blind date,0,38,38,34,,,,,,,65.61435361899203,None,$0.60,0.508,0.024457093968521804,None,None,65.61435361899203,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Going to a flea market
with family",0,39,39,41,,,,,,,66.1623219170142,None,$0.60,0.473,0.025354246026836336,None,None,66.1623219170142,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Taking a family member
 on a shopping trip",0,40,40,0,,,,,,,66.69745423301356,None,$0.60,0.583,0.028594964009243995,None,None,66.69745423301356,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Baking cookies for
a neighbor",0,41,41,36,,,,,,,67.31366637302563,None,$0.60,0.659,0.02405249496223405,None,None,67.31366637302563,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Going to an amusement 
park with a friend",0,42,42,27,,,,,,,68.03127740998752,None,$0.60,0.784,0.026091015024576336,None,None,68.03127740998752,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Going to a parade 
with family",0,43,43,28,,,,,,,68.86549670499517,None,$0.60,0.754,0.02504886395763606,None,None,68.86549670499517,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Playing icebreakers
with classmates",0,44,44,19,,,,,,,69.66377703100443,None,$0.60,0.421,0.024915976042393595,None,None,69.66377703100443,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Going to a comedy show 
with a significant other",0,45,45,48,,,,,,,70.13082953199046,None,$0.60,0.502,0.027103891014121473,None,None,70.13082953199046,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Working on a group
project with classmates",0,46,46,42,,,,,,,70.69940318301087,None,$0.60,0.615,0.02916984900366515,None,None,70.69940318301087,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Planning a surprise 
party for a family member",0,47,47,4,,,,,,,71.346933007997,None,$0.60,0.537,0.027162032027263194,None,None,71.346933007997,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Taking your friend 
on a cruise",0,48,48,6,,,,,,,71.9299171200255,None,$0.60,0.472,0.025834174011833966,None,None,71.9299171200255,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Getting likes on a 
Facebook status",0,49,49,45,,,,,,,72.44784380402416,None,$0.60,0.437,0.02674920903518796,None,None,72.44784380402416,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
,,,,,,,,,,,,,,,,,,,,72.9169862390263,73.89761033200193,space,1.1845070240087807,72.9169862390263,None,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
