102.9970 	DATA 	Mouse:  Left button up, pos=(862,371)
104.3310 	DATA 	Keypress: return
104.3312 	DATA 	RatingScale rating: (key response) rating=$.02
104.3313 	DATA 	RatingScale rating: rating RT=19.887
104.3313 	DATA 	RatingScale rating: history=[(None, 0.0), ('$.02', 18.42), ('$.02', 19.887)]
104.3449 	EXP 	New trial (rep=0, index=1): OrderedDict([('choices', 'Planting flowers \nin a garden')])
104.3777 	EXP 	RatingScale rating: reset()
104.4062 	EXP 	text: autoDraw = False
104.4062 	EXP 	rating: autoDraw = False
104.4062 	EXP 	text: color = '[1. 1. 1.] (rgb)'
104.4062 	EXP 	text: pos = array([0.  , 0.07])
104.4062 	EXP 	text: text = 'Planting flowers \nin a garden'
104.4062 	EXP 	text: font = 'Arial'
104.4062 	EXP 	text: height = 0.08
104.4062 	EXP 	text: autoDraw = True
104.4062 	EXP 	rating: autoDraw = True
104.4062 	EXP 	text: text = 'Planting flowers \nin a garden'
109.3007 	DATA 	Mouse: Left button down, pos=(861,377)
109.4144 	DATA 	Mouse:  Left button up, pos=(861,374)
110.0146 	DATA 	Keypress: return
110.0148 	DATA 	RatingScale rating: (key response) rating=$.02
110.0149 	DATA 	RatingScale rating: rating RT=5.626
110.0149 	DATA 	RatingScale rating: history=[(None, 0.0), ('$.02', 4.912), ('$.02', 5.626)]
110.0284 	EXP 	New trial (rep=0, index=2): OrderedDict([('choices', 'Having hundreds of friends on Facebook')])
110.0648 	EXP 	RatingScale rating: reset()
110.0912 	EXP 	text: autoDraw = False
110.0912 	EXP 	rating: autoDraw = False
110.0912 	EXP 	text: color = '[1. 1. 1.] (rgb)'
110.0912 	EXP 	text: pos = array([0.  , 0.07])
110.0912 	EXP 	text: text = 'Having hundreds of friends on Facebook'
110.0912 	EXP 	text: font = 'Arial'
110.0912 	EXP 	text: height = 0.08
110.0912 	EXP 	text: autoDraw = True
110.0912 	EXP 	rating: autoDraw = True
110.0912 	EXP 	text: text = 'Having hundreds of friends on Facebook'
112.7654 	DATA 	Mouse: Left button down, pos=(472,361)
112.8668 	DATA 	Mouse:  Left button up, pos=(472,361)
113.1168 	DATA 	Keypress: return
113.1170 	DATA 	RatingScale rating: (key response) rating=$0
113.1171 	DATA 	RatingScale rating: rating RT=3.036
113.1171 	DATA 	RatingScale rating: history=[(None, 0.0), ('$0', 2.685), ('$0', 3.036)]
113.1300 	EXP 	New trial (rep=0, index=3): OrderedDict([('choices', 'Reading a book')])
113.1586 	EXP 	RatingScale rating: reset()
113.1762 	EXP 	text: autoDraw = False
113.1762 	EXP 	rating: autoDraw = False
113.1762 	EXP 	text: color = '[1. 1. 1.] (rgb)'
113.1762 	EXP 	text: pos = array([0.  , 0.07])
113.1762 	EXP 	text: text = 'Reading a book'
113.1762 	EXP 	text: font = 'Arial'
113.1762 	EXP 	text: height = 0.08
113.1762 	EXP 	text: autoDraw = True
113.1762 	EXP 	rating: autoDraw = True
113.1762 	EXP 	text: text = 'Reading a book'
115.7188 	DATA 	Mouse: Left button down, pos=(1453,379)
115.8178 	DATA 	Mouse:  Left button up, pos=(1453,379)
116.0851 	DATA 	Keypress: return
116.0853 	DATA 	RatingScale rating: (key response) rating=$.05
116.0855 	DATA 	RatingScale rating: rating RT=2.917
116.0855 	DATA 	RatingScale rating: history=[(None, 0.0), ('$.05', 2.55), ('$.05', 2.917)]
116.0971 	EXP 	New trial (rep=0, index=4): OrderedDict([('choices', 'Taking a nap')])
116.1266 	EXP 	RatingScale rating: reset()
116.1451 	EXP 	text: autoDraw = False
116.1451 	EXP 	rating: autoDraw = False
116.1451 	EXP 	text: color = '[1. 1. 1.] (rgb)'
116.1451 	EXP 	text: pos = array([0.  , 0.07])
116.1451 	EXP 	text: text = 'Taking a nap'
116.1451 	EXP 	text: font = 'Arial'
116.1451 	EXP 	text: height = 0.08
116.1451 	EXP 	text: autoDraw = True
116.1451 	EXP 	rating: autoDraw = True
116.1451 	EXP 	text: text = 'Taking a nap'
117.9515 	DATA 	Mouse: Left button down, pos=(1446,366)
118.0364 	DATA 	Mouse:  Left button up, pos=(1446,366)
118.2363 	DATA 	Keypress: return
118.2366 	DATA 	RatingScale rating: (key response) rating=$.05
118.2367 	DATA 	RatingScale rating: rating RT=2.099
