Subject ,Age,Sex,ChoiceCondition,ExcCondition,leftprice,rightprice,response,resPrice,chosentype,rt,social over non ,nonsocial over social ,friends over fam,fam over s/o,s/o over friends,fam over friends,friends over s/o,s/o over fam,enjoy,ums avg,ums aff,ums int,person,thing,P-T,OPC sum,sns online support,sns online victim,sns in person victim,bis,bas drive,bas fun,bas reward responsiveness,iri sum,iri pt,iri fantasy, iri empathy,iri personal distress,rse,aq,mspss avg,mspss sig other,mspss fam,mspss friend,bad-good,sad-happy,tense-relaxed,accepted-rejected,"%socia, chosen total",%social chosen pre,%social chosen post,$pre social (SvNS & SvS),$Pre nonsocial,$post social(SvN & SvS),$post nonsocial,$pre total,$post total,$social total,$nonsocial total,Spre social (SvNS),$Post social (NvS),% Change Pre-Post,$Pre SvS,$Post SvS,$Social Total (SvNS)
exc12 ,18,0,0,0,0.02,0.05,1,0.02,1,2.084813328,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.05,0.01,NA,NA,NA,NA,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.05,1,0.01,0,1.267114176,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.04,0.02,2,0.02,1,2.101566804,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.04,0.01,2,0.01,1,2.451610796,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.02,0.04,1,0.02,1,2.801478755,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.04,0.02,2,0.02,1,2.3513599,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.02,0.05,1,0.02,1,2.401677867,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.03,0.04,1,0.03,1,1.818336111,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.04,0.03,2,0.03,1,2.168435776,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.01,0.05,1,0.01,1,1.334982442,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.01,0.05,1,0.01,1,2.468340324,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.03,0.03,1,0.03,1,2.101292488,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.05,0.03,2,0.03,1,2.118560695,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.03,0.05,NA,NA,NA,NA,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.02,0.01,2,0.01,1,2.601886372,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.04,0.01,2,0.01,1,2.017938134,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.01,0.04,1,0.01,1,2.034964371,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.02,0.03,1,0.02,1,2.017934402,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,1,0,0.05,0.02,2,0.02,1,2.735053291,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
