Subject ,Age,Sex,ChoiceCondition,ExcCondition,leftprice,rightprice,response,resPrice,chosentype,rt,social over non ,nonsocial over social ,friends over fam,fam over s/o,s/o over friends,fam over friends,friends over s/o,s/o over fam,enjoy,ums avg,ums aff,ums int,person,thing,P-T,OPC sum,sns online support,sns online victim,sns in person victim,bis,bas drive,bas fun,bas reward responsiveness,iri sum,iri pt,iri fantasy, iri empathy,iri personal distress,rse,aq,mspss avg,mspss sig other,mspss fam,mspss friend,bad-good,sad-happy,tense-relaxed,accepted-rejected,"%socia, chosen total",%social chosen pre,%social chosen post,$pre social (SvNS & SvS),$Pre nonsocial,$post social(SvN & SvS),$post nonsocial,$pre total,$post total,$social total,$nonsocial total,Spre social (SvNS),$Post social (NvS),% Change Pre-Post,$Pre SvS,$Post SvS,$Social Total (SvNS)
exc12 ,18,0,0,0,0.02,0.05,1,0.02,0,3.885534759,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.02,2,0.02,1,2.434813156,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.05,0.02,2,0.02,1,3.768657591,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.02,NA,NA,NA,NA,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.04,2,0.04,1,1.167356241,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.05,0.02,2,0.02,0,2.551394236,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.03,1,0.01,1,2.117679899,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.02,0.01,2,0.01,1,1.918323888,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.04,0.03,NA,NA,NA,NA,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.04,0.03,NA,NA,NA,NA,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.05,2,0.05,1,1.500886238,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.05,0.03,2,0.03,0,2.868387226,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.03,0.01,NA,NA,NA,NA,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.05,0.03,2,0.03,0,2.651446394,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.04,1,0.01,0,2.084591573,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.04,1,0.01,1,2.20165566,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.03,0.02,2,0.02,1,1.98479818,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.03,1,0.01,1,2.084847539,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.05,0.01,2,0.01,1,2.551720181,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.03,0.03,1,0.03,1,2.701839005,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.02,0.02,1,0.02,0,2.801571127,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.04,0.01,2,0.01,0,2.468530355,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.02,0.04,1,0.02,0,2.551117432,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.02,0.04,1,0.02,1,2.117668701,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.02,0.05,1,0.02,1,3.734993576,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.03,0.03,1,0.03,1,2.451488568,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.05,1,0.01,1,2.701616628,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.02,0.01,NA,NA,NA,NA,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.01,0.01,2,0.01,1,2.151161036,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.03,0.05,1,0.03,0,2.501677151,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
exc12 ,18,0,0,0,0.04,0.05,1,0.04,0,3.28477022,4,4,7,4,6,4,7,5,7,2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
