Subject ,Age,Sex,ChoiceCondition,ExcCondition,leftprice,rightprice,response,resPrice,chosentype,rt,social over non ,nonsocial over social ,friends over fam,fam over s/o,s/o over friends,fam over friends,friends over s/o,s/o over fam,enjoy,ums avg,ums aff,ums int,person,thing,P-T,OPC sum,sns online support,sns online victim,sns in person victim,bis,bas drive,bas fun,bas reward responsiveness,iri sum,iri pt,iri fantasy, iri empathy,iri personal distress,rse,aq,mspss avg,mspss sig other,mspss fam,mspss friend,bad-good,sad-happy,tense-relaxed,accepted-rejected,,,"%socia, chosen total",%social chosen pre,%social chosen post,$pre social (SvNS & SvS),$Pre nonsocial,$post social(SvN & SvS),$post nonsocial,$pre total,$post total,$social total,$nonsocial total,Spre social (SvNS),$Post social (NvS),% Change Pre-Post,$Pre SvS,$Post SvS,$Social Total (SvNS)
exc1,18,0,0,0,0.02,0.05,2,0.05,1,2.485027243,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.05,0.01,2,0.01,1,3.101417826,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.02,1,0.01,0,2.701460187,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.05,0.02,2,0.02,0,1.751144615,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.02,0.04,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.01,2,0.01,1,1.867681842,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.02,0.03,2,0.03,0,2.751993687,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.05,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.03,0.03,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.02,0.04,1,0.02,1,1.367129323,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.05,0.02,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.04,2,0.04,1,1.500588908,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.03,0.05,2,0.05,1,2.517852761,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.04,2,0.04,1,2.834647634,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.02,0.02,1,0.02,0,1.950680704,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.02,2,0.02,0,3.684779488,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.04,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.03,0.01,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.04,0.03,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.05,0.02,2,0.02,1,3.084796843,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.04,0.01,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.02,0.01,2,0.01,1,3.818333,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.05,1,0.01,0,2.017816839,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.03,0.05,NA,NA,NA,NA,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.02,0.02,2,0.02,1,2.835299211,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.03,2,0.03,0,3.651615275,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.05,0.03,1,0.05,1,2.01801651,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.03,0.04,2,0.04,1,1.751802103,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.02,0.01,2,0.01,1,1.800656741,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.03,0.02,2,0.02,1,2.884759085,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.05,0.01,1,0.05,1,1.251093454,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.04,0.03,1,0.04,1,2.76817645,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.05,0.01,2,0.01,1,1.684080325,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.04,0.05,2,0.05,1,1.484856807,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.04,0.02,2,0.02,1,1.551195808,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.02,0.05,1,0.02,1,2.451310044,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.03,0.03,1,0.03,1,1.951573319,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.01,0.05,1,0.01,0,1.300478063,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,0,0,0.04,0.01,2,0.01,0,2.784717503,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.05,0.01,1,0.05,1,0.900646384,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.01,0.03,2,0.03,1,1.500833055,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.02,0.01,2,0.01,1,1.968200212,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.02,0.02,1,0.02,1,3.168189451,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.02,0.05,2,0.05,1,1.917778677,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.01,0.04,2,0.04,1,3.785127421,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.05,0.01,1,0.05,1,1.81799897,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.04,0.02,2,0.02,1,1.484297602,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.04,0.01,1,0.04,1,1.534256034,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.01,0.05,2,0.05,1,1.217498482,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.03,0.03,1,0.03,1,1.317692774,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.03,0.01,1,0.03,1,1.652133738,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.03,0.04,1,0.03,1,3.58490461,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.03,0.02,1,0.03,1,2.3511792,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.01,0.05,1,0.01,1,1.569030685,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.05,0.02,2,0.02,1,3.318655057,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.02,0.05,2,0.05,1,2.967763546,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.05,0.02,1,0.05,1,1.267752381,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
exc1,18,0,1,0,0.05,0.03,2,0.03,1,3.184950392,6,3,5,5,6,4,4,6,4,1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6,6,7,6,5,6,5,,,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
