selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response2.keys,response3.keys,response2.rt,response3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,4.90176106337,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,0,0,23,0,0,0,0,,,,,,,None,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,0,0,23,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,1,1,8,,,,,0,0,0,0,,,,None,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,1,1,8,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,2,2,7,0,0,0,0,,,,,,,1,,1.13410121016,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,2,2,7,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,3,3,12,0,0,0,0,,,,,,,None,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,3,3,12,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,4,4,9,,,,,0,0,0,0,,,,1,,1.76747542154,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,4,4,9,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,5,5,13,0,0,0,0,,,,,,,None,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,5,5,13,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,6,6,19,0,0,0,0,,,,,,,None,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,6,6,19,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,7,7,20,0,0,0,0,,,,,,,1,,1.20107468311,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
